# Transcribed from https://historicalstockinfo.com/att-corp-stock-prices-table/ (site cites NYT archive, S&P Stock Price Record, Yahoo). Footnotes on source: month-end prices not adjusted for splits; pre-divestiture prices are the high-low average of the last market day of the month. 1998 missing at source.
date,price,raw,basis,fix_note
1970-01-31,47.69,47.69,pre-divestiture AT&T; high-low average of last trading day,
1970-02-28,51.19,51.19,pre-divestiture AT&T; high-low average of last trading day,
1970-03-31,52.63,52.63,pre-divestiture AT&T; high-low average of last trading day,
1970-04-30,48.0,48.00,pre-divestiture AT&T; high-low average of last trading day,
1970-05-31,45.06,45.06,pre-divestiture AT&T; high-low average of last trading day,
1970-06-30,41.25,41.25,pre-divestiture AT&T; high-low average of last trading day,
1970-07-31,45.81,45.81,pre-divestiture AT&T; high-low average of last trading day,
1970-08-31,46.06,46.06,pre-divestiture AT&T; high-low average of last trading day,
1970-09-30,45.0,45.00,pre-divestiture AT&T; high-low average of last trading day,
1970-10-31,43.06,43.06,pre-divestiture AT&T; high-low average of last trading day,
1970-11-30,45.0,45.00,pre-divestiture AT&T; high-low average of last trading day,
1970-12-31,49.25,49.25,pre-divestiture AT&T; high-low average of last trading day,
1971-01-31,53.31,53.31,pre-divestiture AT&T; high-low average of last trading day,
1971-02-28,49.19,49.19,pre-divestiture AT&T; high-low average of last trading day,
1971-03-31,48.88,48.88,pre-divestiture AT&T; high-low average of last trading day,
1971-04-30,48.5,48.50,pre-divestiture AT&T; high-low average of last trading day,
1971-05-31,44.63,44.63,pre-divestiture AT&T; high-low average of last trading day,
1971-06-30,45.44,45.44,pre-divestiture AT&T; high-low average of last trading day,
1971-07-31,43.88,43.88,pre-divestiture AT&T; high-low average of last trading day,
1971-08-31,43.0,43.00,pre-divestiture AT&T; high-low average of last trading day,
1971-09-30,42.75,42.75,pre-divestiture AT&T; high-low average of last trading day,
1971-10-31,42.25,42.25,pre-divestiture AT&T; high-low average of last trading day,
1971-11-30,41.63,41.63,pre-divestiture AT&T; high-low average of last trading day,
1971-12-31,45.0,45.00,pre-divestiture AT&T; high-low average of last trading day,
1972-01-31,45.06,45.06,pre-divestiture AT&T; high-low average of last trading day,
1972-02-29,43.56,43.56,pre-divestiture AT&T; high-low average of last trading day,
1972-03-31,42.94,42.94,pre-divestiture AT&T; high-low average of last trading day,
1972-04-30,42.88,42.88,pre-divestiture AT&T; high-low average of last trading day,
1972-05-31,42.5,42.50,pre-divestiture AT&T; high-low average of last trading day,
