# Morgan Stanley Counterpoint Global, "Stock Market Concentration" (Mauboussin & Callahan, 2024), Exhibit 2 "Stocks with the Largest Market Capitalizations in the U.S., 1950-2023"; source: FactSet; calendar year-end ranks. URL: https://www.morganstanley.com/im/publication/insights/articles/article_stockmarketconcentration.pdf . Decoded from the rendered exhibit by classifying each grid cell colour (light blue=#1, hatched=#2, dark blue=#3); every year decodes to exactly one #1/#2/#3, which validates the read. Row labels re-read at 4x render (AT&T, GM, DuPont, Exxon, IBM, Kodak, GE, Altria, Walmart, Coca-Cola, Microsoft, Cisco, Pfizer, P&G, Apple, Alphabet, Amazon). AT&T row after 1983 = post-divestiture AT&T Corp.
year_end,rank,company,ticker
1950,1,AT&T,T_OLD
1950,2,GM,GM_OLD
1950,3,DuPont,DD_OLD
1951,1,AT&T,T_OLD
1951,2,Exxon,XOM
1951,3,GM,GM_OLD
1952,1,AT&T,T_OLD
1952,2,GM,GM_OLD
1952,3,Exxon,XOM
1953,1,AT&T,T_OLD
1953,2,GM,GM_OLD
1953,3,DuPont,DD_OLD
1954,1,GM,GM_OLD
1954,2,AT&T,T_OLD
1954,3,DuPont,DD_OLD
1955,1,GM,GM_OLD
1955,2,DuPont,DD_OLD
1955,3,Exxon,XOM
1956,1,GM,GM_OLD
1956,2,Exxon,XOM
1956,3,AT&T,T_OLD
1957,1,AT&T,T_OLD
1957,2,Exxon,XOM
1957,3,GM,GM_OLD
1958,1,AT&T,T_OLD
1958,2,GM,GM_OLD
1958,3,Exxon,XOM
1959,1,AT&T,T_OLD
1959,2,GM,GM_OLD
1959,3,DuPont,DD_OLD
1960,1,AT&T,T_OLD
1960,2,GM,GM_OLD
1960,3,IBM,IBM
1961,1,AT&T,T_OLD
1961,2,GM,GM_OLD
1961,3,IBM,IBM
1962,1,AT&T,T_OLD
1962,2,GM,GM_OLD
1962,3,Exxon,XOM
1963,1,AT&T,T_OLD
1963,2,GM,GM_OLD
1963,3,Exxon,XOM
1964,1,AT&T,T_OLD
1964,2,GM,GM_OLD
1964,3,Exxon,XOM
1965,1,AT&T,T_OLD
1965,2,GM,GM_OLD
1965,3,IBM,IBM
1966,1,AT&T,T_OLD
1966,2,IBM,IBM
1966,3,GM,GM_OLD
1967,1,IBM,IBM
1967,2,AT&T,T_OLD
1967,3,GM,GM_OLD
1968,1,IBM,IBM
1968,2,AT&T,T_OLD
1968,3,GM,GM_OLD
1969,1,IBM,IBM
1969,2,AT&T,T_OLD
1969,3,GM,GM_OLD
1970,1,IBM,IBM
1970,2,AT&T,T_OLD
