# SEC EDGAR XBRL companyfacts API (public domain), us-gaap USD duration facts from 10-K/10-Q filings. Source: https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json
ticker,cik,kind,concept,start,end,value,form,fy,fp,filed,accn
AAPL,320193,operating_income,OperatingIncomeLoss,2006-10-01,2007-09-29,4409000000,10-K,2009,FY,2009-10-27,0001193125-09-214859
AAPL,320193,operating_income,OperatingIncomeLoss,2006-10-01,2007-09-29,4407000000,10-K/A,2009,FY,2010-01-25,0001193125-10-012091
AAPL,320193,operating_income,OperatingIncomeLoss,2007-09-30,2008-06-28,4833000000,10-Q,2009,Q3,2009-07-22,0001193125-09-153165
AAPL,320193,operating_income,OperatingIncomeLoss,2008-03-30,2008-06-28,1392000000,10-Q,2009,Q3,2009-07-22,0001193125-09-153165
AAPL,320193,operating_income,OperatingIncomeLoss,2007-09-30,2008-09-27,6275000000,10-K,2009,FY,2009-10-27,0001193125-09-214859
AAPL,320193,operating_income,OperatingIncomeLoss,2007-09-30,2008-09-27,8327000000,10-K/A,2009,FY,2010-01-25,0001193125-10-012091
AAPL,320193,operating_income,OperatingIncomeLoss,2007-09-30,2008-09-27,8327000000,10-K,2010,FY,2010-10-27,0001193125-10-238044
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2008-12-27,3101000000,10-Q,2010,Q1,2010-01-25,0001193125-10-012085
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-03-28,5424000000,10-Q,2010,Q2,2010-04-21,0001193125-10-088957
AAPL,320193,operating_income,OperatingIncomeLoss,2008-12-28,2009-03-28,2323000000,10-Q,2010,Q2,2010-04-21,0001193125-10-088957
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-06-27,5465000000,10-Q,2009,Q3,2009-07-22,0001193125-09-153165
AAPL,320193,operating_income,OperatingIncomeLoss,2009-03-29,2009-06-27,1672000000,10-Q,2009,Q3,2009-07-22,0001193125-09-153165
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-06-27,8056000000,10-Q,2010,Q3,2010-07-21,0001193125-10-162840
AAPL,320193,operating_income,OperatingIncomeLoss,2009-03-29,2009-06-27,2632000000,10-Q,2010,Q3,2010-07-21,0001193125-10-162840
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-09-26,7658000000,10-K,2009,FY,2009-10-27,0001193125-09-214859
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-09-26,11740000000,10-K/A,2009,FY,2010-01-25,0001193125-10-012091
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-09-26,11740000000,10-K,2010,FY,2010-10-27,0001193125-10-238044
AAPL,320193,operating_income,OperatingIncomeLoss,2008-09-28,2009-09-26,11740000000,10-K,2011,FY,2011-10-26,0001193125-11-282113
AAPL,320193,operating_income,OperatingIncomeLoss,2009-09-27,2009-12-26,4725000000,10-Q,2010,Q1,2010-01-25,0001193125-10-012085
AAPL,320193,operating_income,OperatingIncomeLoss,2009-09-27,2009-12-26,4725000000,10-Q,2011,Q1,2011-01-19,0001193125-11-010144
AAPL,320193,operating_income,OperatingIncomeLoss,2009-09-27,2010-03-27,8704000000,10-Q,2010,Q2,2010-04-21,0001193125-10-088957
AAPL,320193,operating_income,OperatingIncomeLoss,2009-12-27,2010-03-27,3979000000,10-Q,2010,Q2,2010-04-21,0001193125-10-088957
