company,ticker,date,shares_millions,basis,derivation,source_url,note,basis_date
# basis: avg_year = annual average shares (placed at mid-year, 07-01); point = shares outstanding on that date; implied = market value / nominal close that day
# All counts are AS-TRADED at the time (pre-split basis where a later split occurred); sp500bt.mcap converts across splits.
# basis_date: date whose split basis the count is expressed in, when different from date (restated multi-year tables)
AT&T (pre-divestiture),T_OLD,1974-07-01,557.815,avg_year,AR 1975 Results in Brief,https://memorial.bellsystem.com/pdf/1975ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1975-07-01,567.915,avg_year,AR 1975 Results in Brief,https://memorial.bellsystem.com/pdf/1975ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1976-07-01,595.184,avg_year,AR 1976 Results in Brief,https://memorial.bellsystem.com/pdf/1976ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1977-07-01,625.979,avg_year,AR 1977 Results in Brief,https://memorial.bellsystem.com/pdf/1977ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1978-07-01,659.843,avg_year,AR 1978 Results in Brief,https://memorial.bellsystem.com/pdf/1978ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1979-07-01,686.109,avg_year,AR 1979 Results in Brief,https://memorial.bellsystem.com/pdf/1979ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1980-07-01,723.516,avg_year,AR 1980 Results in Brief,https://memorial.bellsystem.com/pdf/1980ATTar_Complete.pdf,UPI NI/EPS gives 741.7M but NI includes preferred dividends; AR figure used,
AT&T (pre-divestiture),T_OLD,1981-07-01,788.178,avg_year,AR 1981 Results in Brief,https://memorial.bellsystem.com/pdf/1981ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1982-07-01,849.550,avg_year,AR 1982 Results in Brief,https://memorial.bellsystem.com/pdf/1982ATTar_Complete.pdf,,
AT&T (pre-divestiture),T_OLD,1983-07-01,936.901,avg_year,AR 1983 Results in Brief,https://memorial.bellsystem.com/pdf/1983ATTar_Complete.pdf,,
IBM,IBM,1976-07-01,150.44,avg_year,NI 2398M / EPS 15.94,https://www.washingtonpost.com/archive/business/1978/01/17/ibm-profits-set-record/44926f3e-e755-4474-a03c-a39e887a05db/,Washington Post 1978-01-17 (via search snippet; page 403s to fetchers),
IBM,IBM,1977-07-01,148.58,avg_year,NI 2719M / EPS 18.30,https://www.washingtonpost.com/archive/business/1978/01/17/ibm-profits-set-record/44926f3e-e755-4474-a03c-a39e887a05db/,Washington Post 1978-01-17,
IBM,IBM,1979-07-01,584.7,avg_year,NI (3560/1.18) / EPS 5.16,https://www.washingtonpost.com/archive/business/1981/01/17/ibm-reports-1980-earnings-increased-18/ae360830-14b1-4c55-814c-b6b3f8599523/,post 1979-06-01 4:1 split basis; 1979 NI backed out of '1980 up 18%',
IBM,IBM,1980-07-01,583.6,avg_year,NI 3560M / EPS 6.10,https://www.washingtonpost.com/archive/business/1981/01/17/ibm-reports-1980-earnings-increased-18/ae360830-14b1-4c55-814c-b6b3f8599523/,,
IBM,IBM,1982-07-01,595.4,avg_year,NI 4400M (rounded) / EPS 7.39,https://www.upi.com/Archives/1984/01/18/IBM-1983-earnings-up-sharply/9620031005344/,NI rounded to 0.1B -> +/-1%,
IBM,IBM,1983-07-01,608.4,avg_year,NI 5500M (rounded) / EPS 9.04,https://www.upi.com/Archives/1984/01/18/IBM-1983-earnings-up-sharply/9620031005344/,NI rounded to 0.1B -> +/-1%,
IBM,IBM,1989-07-01,580.7,avg_year,NI 3722M / EPS 6.41,https://www.sec.gov/Archives/edgar/data/51143/0000950112-94-000794.txt,IBM 10-K FY1993 five-year table,
IBM,IBM,1990-07-01,572.6,avg_year,NI 5967M / EPS 10.42,https://www.sec.gov/Archives/edgar/data/51143/0000950112-94-000794.txt,IBM 10-K FY1993 five-year table,
IBM,IBM,1991-07-01,571.1,avg_year,NI -2861M / EPS -5.01,https://www.sec.gov/Archives/edgar/data/51143/0000950112-94-000794.txt,IBM 10-K FY1993 five-year table,
IBM,IBM,1992-07-01,570.7,avg_year,NI -4965M / EPS -8.70,https://www.sec.gov/Archives/edgar/data/51143/0000950112-94-000794.txt,IBM 10-K FY1993 five-year table,
IBM,IBM,1994-03-31,583.126,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1994-06-30,584.864,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1994-09-30,587.172,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1995-03-31,580.664,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1995-06-30,568.723,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1995-09-30,558.315,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
IBM,IBM,1996-03-31,539.671,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000051143&type=10-Q&dateb=19970101,,
Exxon,XOM,1979-04-01,442.1,avg_year,Q1-1979 NI 955M / EPS 2.16,https://www.csmonitor.com/1980/0424/042407.html,pre 1981-06-12 2:1 split basis,
Exxon,XOM,1980-04-01,437.5,avg_year,Q1-1980 NI 1925M / EPS 4.40,https://www.csmonitor.com/1980/0424/042407.html,pre-split basis,
