year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2026,Q1,1,Nvidia,4238000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,1,Nvidia,4846000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,2,Apple,3730000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,2,Alphabet,4311000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,3,Alphabet,3470000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,3,Apple,4249000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,4,Microsoft,2751000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,4,Microsoft,2770000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,5,Amazon,2235000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,5,Amazon,2563000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,6,TSMC,1752000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,6,TSMC,2475000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,7,Broadcom,1467000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,7,Broadcom,1797000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,8,Meta,1447000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,8,Tesla,1579000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,9,Tesla,1394000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,9,Meta,1429000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q1,10,Berkshire Hathaway,1033000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2026,Q2,10,Samsung,1416000.0,,This list is up to date as of 30 June 2026 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,1,Apple,3337000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,1,Nvidia,3850000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,1,Nvidia,4542000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,1,Nvidia,4638000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,2,Microsoft,2791000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,2,Microsoft,3700000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,2,Microsoft,3850000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,2,Apple,4057000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,3,Nvidia,2644000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,3,Apple,3060000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,3,Apple,3794000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,3,Alphabet,3802000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,4,Amazon,2016000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,4,Amazon,2330000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,4,Alphabet,2975000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,4,Microsoft,3625000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
