effective_date,observed_at,from_ticker,to_ticker,confidence,reason,context_source_url,row_type
1975-04-01,1975-03-31,T_OLD,IBM,MEDIUM,IBM price +23% vs T_OLD +12% over 1974-12-31..1975-03-31,,quarter_transition
1977-07-01,1977-06-30,IBM,T_OLD,LOW,T_OLD price +1% vs IBM -5% over 1977-03-31..1977-06-30,,quarter_transition
1978-01-01,1977-12-31,T_OLD,IBM,HIGH,IBM price +5% vs T_OLD -4% over 1977-09-30..1977-12-31,,quarter_transition
1978-04-01,1978-03-31,IBM,T_OLD,MEDIUM,T_OLD price +2% vs IBM -14% over 1977-12-31..1978-03-31,,quarter_transition
1979-01-01,1978-12-31,T_OLD,IBM,HIGH,IBM price +8% vs T_OLD -2% over 1978-09-30..1978-12-31,,quarter_transition
1980-04-01,1980-03-31,IBM,T_OLD,MEDIUM,T_OLD price -8% vs IBM -13% over 1979-12-31..1980-03-31,,quarter_transition
1981-01-01,1980-12-31,T_OLD,IBM,HIGH,IBM price +6% vs T_OLD -7% over 1980-09-30..1980-12-31,,quarter_transition
1981-04-01,1981-03-31,IBM,T_OLD,MEDIUM,T_OLD price +7% vs IBM -8% over 1980-12-31..1981-03-31,,quarter_transition
1982-01-08,1982-01-08,,,HIGH (dated news source),"AT&T settles the DOJ antitrust suit and agrees to divest the Bell operating companies; its #1 spell in 1981-82 is the pre-breakup Bell System, not a durable standalone franchise",https://www.upi.com/Archives/1982/01/08/Government-settles-with-ATT-drops-IBM-case/6476379314000/,documented_event:structural
1983-01-01,1982-12-31,T_OLD,IBM,HIGH,IBM price +31% vs T_OLD +6% over 1982-09-30..1982-12-31,,quarter_transition
1984-01-01,1984-01-01,,,HIGH (dated news source),Bell System divestiture effective: each old AT&T share -> 1 new AT&T Corp share + 0.1 share of each of 7 regional Bells (value split 28.67% / 71.33%),https://bimajority.org/~wollman/t.html,documented_event:structural
1990-01-01,1989-12-31,IBM,XOM,HIGH,XOM price +12% vs IBM -14% over 1989-09-30..1989-12-31,,quarter_transition
1990-04-01,1990-03-31,XOM,IBM,MEDIUM,IBM price +13% vs XOM -7% over 1989-12-31..1990-03-31,,quarter_transition
1990-10-01,1990-09-30,IBM,XOM,LOW,XOM price +2% vs IBM -9% over 1990-06-30..1990-09-30,,quarter_transition
1991-01-01,1990-12-31,XOM,IBM,LOW,IBM price +6% vs XOM +6% over 1990-09-30..1990-12-31,,quarter_transition
1991-04-01,1991-03-31,IBM,XOM,MEDIUM,XOM price +13% vs IBM +1% over 1990-12-31..1991-03-31,,quarter_transition
1993-07-01,1993-06-30,XOM,T_CORP,MEDIUM,T_CORP price +11% vs XOM +0% over 1993-03-31..1993-06-30,,quarter_transition
1993-10-01,1993-09-30,T_CORP,GE,LOW,GE price +0% vs T_CORP -7% over 1993-06-30..1993-09-30,,quarter_transition
1994-09-19,1994-09-19,,,HIGH (dated news source),AT&T Corp completes the McCaw Cellular acquisition in stock (~200M new shares); its 1994-Q3 #1 reading is acquisition-inflated,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,documented_event:structural
1994-10-01,1994-09-30,GE,T_CORP,LOW,T_CORP price -1% vs GE +3% over 1994-06-30..1994-09-30,,quarter_transition
1995-01-01,1994-12-31,T_CORP,GE,HIGH,GE price +6% vs T_CORP -7% over 1994-09-30..1994-12-31,,quarter_transition
1998-09-04,1998-09-04,,,HIGH (dated news source),Microsoft briefly passes GE intraday; GE closes ahead ($245.7B vs $238.1B),https://archive.seattletimes.com/archive/?date=19980905&slug=2770248,documented_event:intraday
1998-10-01,1998-09-30,GE,MSFT,MEDIUM,MSFT price +2% vs GE -12% over 1998-06-30..1998-09-30; Microsoft briefly passes GE intraday; GE closes ahead ($245.7B vs $238.1B),https://archive.seattletimes.com/archive/?date=19980905&slug=2770248,quarter_transition
