scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,family
att_sold_at_divestiture_baseline_hold,stock,612,1975-01-31,2025-12-31,0.105875176618462,0.1653866447997431,0.4414575737303609,0.1081626228042813,0.6755955205108166,-0.5263402034240634,2000-09-01,2002-10-09,2007-05-18,2450,corp_action_sensitivity
att_sold_at_divestiture_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_sold_at_divestiture_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1167316420812265,0.1489397673013975,0.5392124344274469,0.098463636394452,0.816639231899013,-0.5060222829277845,2007-10-09,2009-03-09,2011-02-17,1227,corp_action_sensitivity
att_sold_at_divestiture_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.1165519815969515,0.1451695969901259,0.5478059153097833,0.0968171409410991,0.8231679955050326,-0.5296800098457649,2007-10-09,2009-03-09,2012-03-26,1630,corp_action_sensitivity
att_sold_at_divestiture_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_sold_at_divestiture_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.1208805328907465,0.1466995649059153,0.5705413104792652,0.0977547546550563,0.8576154210630326,-0.5421068583016406,2007-10-09,2009-03-09,2012-03-26,1630,corp_action_sensitivity
att_sold_at_divestiture_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.1060569526915324,0.1916250097684244,0.4058877339765854,0.1231333572547399,0.6319465793596173,-0.5544459416055647,2000-09-01,2002-10-09,2007-10-01,2586,corp_action_sensitivity
att_sold_at_divestiture_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_sold_at_divestiture_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1161596991165174,0.1601870144633508,0.5089584591775977,0.1040673133404237,0.7840011011066971,-0.5215620426376082,2000-09-01,2002-10-09,2007-05-18,2450,corp_action_sensitivity
att_uswest_written_off_baseline_hold,stock,612,1975-01-31,2025-12-31,0.1016942052680809,0.1630299568046843,0.4217825023953187,0.1035846141683734,0.6636449778392917,-0.5696054548883183,1999-07-16,2002-10-09,2007-07-25,2931,corp_action_sensitivity
att_uswest_written_off_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_uswest_written_off_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1153073941333433,0.1439066403097749,0.5440053689616101,0.0943084645880898,0.8307069858864609,-0.4961857880507314,2000-04-07,2002-10-09,2007-01-24,2483,corp_action_sensitivity
att_uswest_written_off_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.1190203684866046,0.1431919226256408,0.568776102324538,0.0943498186608321,0.8648151798386238,-0.5315243365807284,2007-10-09,2009-03-09,2012-03-26,1630,corp_action_sensitivity
att_uswest_written_off_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_uswest_written_off_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.1220035409420048,0.1443964248196419,0.584205539368584,0.0956600276190081,0.8832015502397932,-0.5425071222447972,2007-10-09,2009-03-09,2012-03-26,1630,corp_action_sensitivity
att_uswest_written_off_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.1052644394378734,0.1830363732076773,0.4119409352513378,0.1154703273717199,0.6529732142463617,-0.578391731833447,1999-07-16,2002-10-09,2008-05-14,3225,corp_action_sensitivity
att_uswest_written_off_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,corp_action_sensitivity
att_uswest_written_off_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1151737120028846,0.1552712549694767,0.5142713818902171,0.1001069469889566,0.7979689639328726,-0.5224636623879145,1999-07-16,2002-10-09,2007-05-16,2861,corp_action_sensitivity
alt_on_LOW_rows_baseline_hold,stock,612,1975-01-31,2025-12-31,0.1035565380989864,0.173325535870501,0.4161789512921995,0.1091296442944671,0.6609107095039821,-0.5652745704412674,1999-07-16,2002-10-09,2007-07-23,2929,data_sensitivity
alt_on_LOW_rows_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
alt_on_LOW_rows_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1162429649172089,0.1479355073343938,0.5387624493120966,0.0961664976161891,0.8294211456872405,-0.4941097306450852,2000-04-07,2002-10-09,2007-01-12,2471,data_sensitivity
alt_on_LOW_rows_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.1208352084586636,0.1482979233581095,0.5650753389343481,0.0967802178392886,0.8674275390273603,-0.5319031594404438,2007-10-09,2009-03-09,2012-03-26,1630,data_sensitivity
alt_on_LOW_rows_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
alt_on_LOW_rows_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.1228909874775032,0.1471838354314996,0.5812673320432173,0.0969370304930598,0.8838881935345716,-0.542691878968504,2007-10-09,2009-03-09,2012-03-26,1630,data_sensitivity
alt_on_LOW_rows_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.1065444397416486,0.1952217110917084,0.4036810655480988,0.1225738113058173,0.6429715536546919,-0.5752772288436593,1999-07-16,2002-10-09,2008-05-12,3223,data_sensitivity
alt_on_LOW_rows_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
alt_on_LOW_rows_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1159317458847002,0.1609326403734388,0.5058558130205366,0.1029921002681241,0.7907534927142214,-0.5214777941789208,1999-07-16,2002-10-09,2007-05-16,2861,data_sensitivity
only_HIGH_rows_buy_top1_baseline_hold,stock,612,1975-01-31,2025-12-31,0.1213065805236228,0.1491718375287976,0.566319579838204,0.0989172693691683,0.8549920962838191,-0.5261663152416818,2007-10-09,2009-03-09,2012-02-03,1578,data_sensitivity
only_HIGH_rows_buy_top1_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
only_HIGH_rows_buy_top1_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1229828728601798,0.1496198112843237,0.5751950789648334,0.0994984406966381,0.8659119692113958,-0.5398649416782448,2007-10-09,2009-03-09,2012-03-13,1617,data_sensitivity
only_HIGH_rows_buy_top1_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.1233456742862524,0.1492322662367996,0.5783703867402868,0.0992992728331466,0.870335455550564,-0.5458245872486596,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
only_HIGH_rows_buy_top1_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
only_HIGH_rows_buy_top1_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.1239588754982359,0.149901303155755,0.5802112756047482,0.0998150737151569,0.872401632249218,-0.5492130174267675,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
only_HIGH_rows_buy_top1_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.1211104816383132,0.1531393749126015,0.5544490268557655,0.1004389813177145,0.8460828644661497,-0.5021765681274781,2000-09-01,2002-10-09,2007-04-20,2422,data_sensitivity
only_HIGH_rows_buy_top1_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
only_HIGH_rows_buy_top1_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1228479593688298,0.1505906480965708,0.5716901795413631,0.0996403620402519,0.8648575541722462,-0.5213337976135186,2007-10-09,2009-03-09,2011-04-28,1297,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_baseline_hold,stock,612,1975-01-31,2025-12-31,0.1076057723608798,0.1599898227068385,0.4605222457297098,0.1017649401370526,0.7240053286456737,-0.5493152147404282,1999-07-16,2002-10-09,2007-07-16,2922,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1175707292603858,0.1462927568691303,0.5514555863089051,0.0957332625673467,0.8433489814513612,-0.4928163604666665,2007-10-09,2009-03-09,2011-04-01,1270,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.1218089894063492,0.1457741577956939,0.5785426151319527,0.0957356445460696,0.8824238226709644,-0.5356602017036864,2007-10-09,2009-03-09,2012-03-26,1630,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.1233074212799567,0.1466474266835675,0.5855030662136816,0.0969264865991262,0.8871180430042087,-0.5444188627185267,2007-10-09,2009-03-09,2012-03-26,1630,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.1095151759865395,0.1829434030528493,0.4332996318623213,0.115407440457438,0.6868861655300835,-0.5677181961595563,1999-07-16,2002-10-09,2008-05-12,3223,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
HIGH_MEDIUM_rows_buy_top1_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1172111831312017,0.1569974447712713,0.5220673913638735,0.1011327789137404,0.8107870668779251,-0.5168161375943288,2000-09-01,2002-10-09,2007-05-09,2441,data_sensitivity
pre1996_rows_to_index_baseline_hold,stock,612,1975-01-31,2025-12-31,0.1246159820724717,0.1509992389546893,0.5810825560648956,0.1005312713090125,0.8737302677088837,-0.5582888227679914,2007-10-09,2009-03-09,2012-09-06,1794,data_sensitivity
pre1996_rows_to_index_baseline_hold,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
pre1996_rows_to_index_baseline_hold,combined,612,1975-01-31,2025-12-31,0.1245866065638443,0.1507993495772213,0.5814722918636754,0.1004376254551224,0.873985992637889,-0.5553949830964018,2007-10-09,2009-03-09,2012-08-16,1773,data_sensitivity
