scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds,family
att_sold_at_divestiture_baseline_hold,corp_action_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,3039004.029747114,5508523.137345157,8547527.167092271,29.64881980241087,53.741689144830794,41.695254473620835,0.10294201187690429,0.11873237878752335,0.11201795663292206,0,0,corp_action_sensitivity
att_sold_at_divestiture_trailing_stop_25,corp_action_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,4627935.565241566,5508523.137345157,10136458.702586722,45.150590880405524,53.741689144830794,49.44614001261815,0.11412756990964114,0.11873237878752335,0.11653183856124215,174,0,corp_action_sensitivity
att_sold_at_divestiture_buy_the_dip_25_50,corp_action_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,254500.0,152000.0,102500.0,357000.0,6050392.979031334,5508523.137345157,11558916.11637649,23.773646283030782,53.741689144830794,32.37791629237112,0.10636337672524972,0.11873237878752335,0.11182836787966081,0,304,corp_action_sensitivity
att_uswest_written_off_baseline_hold,corp_action_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2380757.740687736,5508523.137345157,7889280.878032893,23.226904787197423,53.741689144830794,38.484296966014114,0.09639448320714107,0.11873237878752335,0.10989113105794049,0,0,corp_action_sensitivity
att_uswest_written_off_trailing_stop_25,corp_action_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5022738.391851977,5508523.137345157,10531261.529197134,49.002325774165634,53.741689144830794,51.372007459498214,0.1162934853671698,0.11873237878752335,0.11754153565105646,222,0,corp_action_sensitivity
att_uswest_written_off_buy_the_dip_25_50,corp_action_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,269060.368,166560.368,102500.0,371560.368,5478864.3986142995,5508523.137345157,10987387.535959456,20.362955865035833,53.741689144830794,29.57093512179818,0.10241175423002427,0.11873237878752335,0.10979621950411704,0,400,corp_action_sensitivity
alt_on_LOW_rows_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2425952.508841796,5508523.137345157,7934475.6461869525,23.667829354554105,53.741689144830794,38.70475924969245,0.09690059482739269,0.11873237878752335,0.11004285263178928,0,0,data_sensitivity
alt_on_LOW_rows_trailing_stop_25,data_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5019178.320237509,5508523.137345157,10527701.457582666,48.96759336817082,53.741689144830794,51.354641256500805,0.1162747395447771,0.11873237878752335,0.11753260395609495,214,0,data_sensitivity
alt_on_LOW_rows_buy_the_dip_25_50,data_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,269999.988,167499.988,102500.0,372499.988,5826409.1918372195,5508523.137345157,11334932.329182375,21.579294262180557,53.741689144830794,30.429349514992133,0.10333240544539463,0.11873237878752335,0.11010181648567685,0,383,data_sensitivity
only_HIGH_rows_buy_top1_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,4896226.253205943,5508523.137345157,10404749.3905511,47.76806100688725,53.741689144830794,50.75487507585902,0.1156188857188265,0.11873237878752335,0.1172222361227076,0,0,data_sensitivity
