run,picker,rule,start,contributions,switches,distinct_tickers,mean_spell_periods,strategy_xirr
buffer5_baseline_hold,top1_margin_buffer_5,baseline_hold,1975-01-01,205,28,7,7.068965517241379,0.09719895086436428
buffer5_trailing_stop_25,top1_margin_buffer_5,trailing_stop_25,1975-01-01,205,28,7,7.068965517241379,0.11714961345578176
buffer5_buy_the_dip_25_50,top1_margin_buffer_5,buy_the_dip_25_50,1975-01-01,205,28,7,7.068965517241379,0.1030573795047654
buffer5_baseline_hold_from_1995,top1_margin_buffer_5,baseline_hold,1995-01-01,125,17,5,6.944444444444445,0.10684499444894642
buffer5_trailing_stop_25_from_1995,top1_margin_buffer_5,trailing_stop_25,1995-01-01,125,17,5,6.944444444444445,0.11117766885028235
buffer5_buy_the_dip_25_50_from_1995,top1_margin_buffer_5,buy_the_dip_25_50,1995-01-01,125,17,5,6.944444444444445,0.1135074401278096
rank2_baseline_hold,rank_2,baseline_hold,1975-01-01,205,69,15,2.9285714285714284,0.10466412846405837
rank2_trailing_stop_25,rank_2,trailing_stop_25,1975-01-01,205,69,15,2.9285714285714284,0.1248367741225089
rank2_buy_the_dip_25_50,rank_2,buy_the_dip_25_50,1975-01-01,205,69,15,2.9285714285714284,0.10635527715104942
rank2_baseline_hold_from_1995,rank_2,baseline_hold,1995-01-01,125,43,12,2.840909090909091,0.11670889783908135
rank2_trailing_stop_25_from_1995,rank_2,trailing_stop_25,1995-01-01,125,43,12,2.840909090909091,0.10919284403194897
rank2_buy_the_dip_25_50_from_1995,rank_2,buy_the_dip_25_50,1995-01-01,125,43,12,2.840909090909091,0.11877788098653136
buffer10_baseline_hold,top1_margin_buffer_10,baseline_hold,1975-01-01,205,20,7,9.761904761904763,0.09774846488859872
buffer20_baseline_hold,top1_margin_buffer_20,baseline_hold,1975-01-01,205,14,7,13.666666666666666,0.09711386151635748
buffer10_baseline_hold_from_1995,top1_margin_buffer_10,baseline_hold,1995-01-01,125,11,5,10.416666666666666,0.10693716997961052
buffer20_baseline_hold_from_1995,top1_margin_buffer_20,baseline_hold,1995-01-01,125,7,5,15.625,0.09925217239519574
ranks2to5_ew_baseline_hold,ranks_ew_2_5,baseline_hold,2006-04-01,80,43,19,1.8181818181818181,0.16584995171874226
ranks2to5_ew_trailing_stop_25,ranks_ew_2_5,trailing_stop_25,2006-04-01,80,43,19,1.8181818181818181,0.1449859704356143
ranks2to5_ew_buy_the_dip_25_50,ranks_ew_2_5,buy_the_dip_25_50,2006-04-01,80,43,19,1.8181818181818181,0.16720495753955691
top1_reference_baseline_hold,top1,baseline_hold,1975-01-01,205,39,8,5.125,0.0972795929645281
top1_reference_baseline_hold_from_1995,top1,baseline_hold,1995-01-01,125,21,5,5.681818181818182,0.10655501379807106
rank2_reference_baseline_hold_from_2006,rank_2,baseline_hold,2006-04-01,80,21,8,3.6363636363636362,0.1686456984985044
top1_reference_baseline_hold_from_2006,top1,baseline_hold,2006-04-01,80,12,4,6.153846153846154,0.15526100557795824
