scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
buffer5_baseline_hold,alt_pickers,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2453008.9702194035,5508523.137345157,7961532.10756456,23.931794831408816,53.741689144830794,38.836741988119805,0.09719895086436428,0.11873237878752335,0.11013326098628642,0,0
buffer5_trailing_stop_25,alt_pickers,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5188095.676638451,5508523.137345157,10696618.813983608,50.6155675769605,53.741689144830794,52.17862836089565,0.11714961345578176,0.11873237878752335,0.11795304563761273,218,0
buffer5_buy_the_dip_25_50,alt_pickers,buy_the_dip_25_50,1975-01-01,2026-01-02,205,270499.98600000003,167999.986,102500.0,372999.98600000003,5685172.191899327,5508523.137345157,11193695.329244483,21.017273516233477,53.741689144830794,30.00990817529007,0.1030573795047654,0.11873237878752335,0.11003217411406345,0,392
buffer5_baseline_hold_from_1995,alt_pickers,baseline_hold,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,444973.11208325234,444486.94134097063,889460.053424223,7.119569793332038,7.11179106145553,7.115680427393784,0.10684499444894642,0.10679156172185587,0.10681828581143454,0,0
buffer5_trailing_stop_25_from_1995,alt_pickers,trailing_stop_25,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,486327.5198374954,444486.94134097063,930814.461178466,7.781240317399926,7.11179106145553,7.446515689427728,0.11117766885028235,0.10679156172185587,0.10903667819774733,110,0
buffer5_buy_the_dip_25_50_from_1995,alt_pickers,buy_the_dip_25_50,1995-01-01,2026-01-02,125,150500.0,88000.0,62500.0,213000.0,1088212.7182973286,444486.94134097063,1532699.6596382991,7.23064929101215,7.11179106145553,7.195773049945067,0.1135074401278096,0.10679156172185587,0.11137780965176186,0,176
rank2_baseline_hold,alt_pickers,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,3241424.9595388626,5508523.137345157,8749948.09688402,31.62365814184256,53.741689144830794,42.682673643336685,0.10466412846405837,0.11873237878752335,0.11263848610253933,0,0
rank2_trailing_stop_25,alt_pickers,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,6944452.695812669,5508523.137345157,12452975.833157826,67.75075800792847,53.741689144830794,60.74622357637964,0.1248367741225089,0.11873237878752335,0.12196344742520991,228,0
rank2_buy_the_dip_25_50,alt_pickers,buy_the_dip_25_50,1975-01-01,2026-01-02,205,262499.98,159999.98,102500.0,364999.98,5298455.472726776,5508523.137345157,10806978.610071933,20.184593814928203,53.741689144830794,29.608162197904594,0.10635527715104942,0.11873237878752335,0.11229014737696971,0,400
rank2_baseline_hold_from_1995,alt_pickers,baseline_hold,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,545089.9238759379,444486.94134097063,989576.8652169085,8.721438782015007,7.11179106145553,7.916614921735268,0.11670889783908135,0.10679156172185587,0.11201612487355166,0,0
rank2_trailing_stop_25_from_1995,alt_pickers,trailing_stop_25,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,466900.5891967276,444486.94134097063,911387.5305376982,7.470409427147642,7.11179106145553,7.291100244301585,0.10919284403194897,0.10679156172185587,0.10800780864143235,109,0
rank2_buy_the_dip_25_50_from_1995,alt_pickers,buy_the_dip_25_50,1995-01-01,2026-01-02,125,144000.0,81500.0,62500.0,206500.0,1138509.468405996,444486.94134097063,1582996.4097469666,7.906315752819417,7.11179106145553,7.665842177951412,0.11877788098653136,0.10679156172185587,0.11497695621010048,0,163
buffer10_baseline_hold,alt_pickers,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2503659.2384375865,5508523.137345157,8012182.375782743,24.42594378963499,53.741689144830794,39.08381646723289,0.09774846488859872,0.11873237878752335,0.1103016669254502,0,0
buffer20_baseline_hold,alt_pickers,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2445261.0493604895,5508523.137345157,7953784.186705646,23.85620535961453,53.741689144830794,38.79894725222266,0.09711386151635748,0.11873237878752335,0.11010740364422127,0,0
buffer10_baseline_hold_from_1995,alt_pickers,baseline_hold,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,445813.1167087421,444486.94134097063,890300.0580497128,7.133009867339874,7.11179106145553,7.122400464397702,0.10693716997961052,0.10679156172185587,0.10686442322511139,0,0
buffer20_baseline_hold_from_1995,alt_pickers,baseline_hold,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,381227.44633160986,444486.94134097063,825714.3876725805,6.099639141305758,7.11179106145553,6.605715101380644,0.09925217239519574,0.10679156172185587,0.10317538594989797,0,0
ranks2to5_ew_baseline_hold,alt_pickers,baseline_hold,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,272672.148723017,178310.54036407385,450982.6890870909,6.816803718075425,4.457763509101846,5.637283613588636,0.1689166896971238,0.13410885017020635,0.15343219649425663,0,0
ranks2to5_ew_trailing_stop_25,alt_pickers,trailing_stop_25,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,207937.90722398472,178310.54036407385,386248.44758805854,5.198447680599618,4.457763509101846,4.828105594850732,0.14678793251494562,0.13410885017020635,0.14070514571655032,234,0
ranks2to5_ew_buy_the_dip_25_50,alt_pickers,buy_the_dip_25_50,2006-04-01,2026-01-02,80,79250.0,39250.0,40000.0,119250.0,471366.31170804286,178310.54036407385,649676.8520721167,5.947839895369626,4.457763509101846,5.44802391674731,0.16945190735803817,0.13410885017020635,0.1579341664080162,0,314
top1_reference_baseline_hold,alt_pickers,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2460375.313955369,5508523.137345157,7968898.451300526,24.003661599564577,53.741689144830794,38.87267537219769,0.0972795929645281,0.11873237878752335,0.11015782105907056,0,0
top1_reference_baseline_hold_from_1995,alt_pickers,baseline_hold,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,442341.39449868375,444486.94134097063,886828.3358396543,7.07746231197894,7.11179106145553,7.094626686717235,0.10655501379807106,0.10679156172185587,0.10667343919914875,0,0
rank2_reference_baseline_hold_from_2006,alt_pickers,baseline_hold,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,271763.75324565556,178310.54036407385,450074.2936097294,6.794093831141389,4.457763509101846,5.625928670121617,0.1686456984985044,0.13410885017020635,0.1532671985500141,0,0
top1_reference_baseline_hold_from_2006,alt_pickers,baseline_hold,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,230590.2425966155,178310.54036407385,408900.7829606894,5.764756064915388,4.457763509101846,5.111259787008618,0.15526100557795824,0.13410885017020635,0.1453978893646498,0,0
