run,picker,rule,start,contributions,switches,distinct_tickers,mean_spell_periods,strategy_xirr
top3_ew_baseline_hold,topn_ew_3,baseline_hold,2006-04-01,80,18,12,4.2105263157894735,0.17889186660651896
top3_ew_trailing_stop_25,topn_ew_3,trailing_stop_25,2006-04-01,80,18,12,4.2105263157894735,0.14811004653470564
top3_ew_buy_the_dip_25_50,topn_ew_3,buy_the_dip_25_50,2006-04-01,80,18,12,4.2105263157894735,0.18387994446871356
top20_ew_baseline_hold,topn_ew_20,baseline_hold,2009-04-01,68,57,45,1.1724137931034482,0.155625540860681
top20_ew_trailing_stop_25,topn_ew_20,trailing_stop_25,2009-04-01,68,57,45,1.1724137931034482,0.13480001799405375
top20_ew_buy_the_dip_25_50,topn_ew_20,buy_the_dip_25_50,2009-04-01,68,57,45,1.1724137931034482,0.17349029710573882
ladder_top1_from_2009,top1,baseline_hold,2009-04-01,68,12,4,5.230769230769231,0.19325760171371417
ladder_top3_from_2009,topn_ew_3,baseline_hold,2009-04-01,68,14,9,4.533333333333333,0.21174115159541962
ladder_top10_from_2009,topn_ew_10,baseline_hold,2009-04-01,68,44,24,1.511111111111111,0.1758881277690467
ladder_top20_from_2009,topn_ew_20,baseline_hold,2009-04-01,68,57,45,1.1724137931034482,0.155625540860681
