scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
top3_ew_baseline_hold,breadth,baseline_hold,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,308390.3327649393,178310.54036407385,486700.8731290131,7.709758319123482,4.457763509101846,6.083760914112664,0.17889186660651896,0.13410885017020635,0.15965875947515118,0,0
top3_ew_trailing_stop_25,breadth,trailing_stop_25,2006-04-01,2026-01-02,80,40000.0,0.0,40000.0,80000.0,211313.0035762924,178310.54036407385,389623.54394036625,5.28282508940731,4.457763509101846,4.870294299254578,0.14811004653470564,0.13410885017020635,0.14142245163203804,192,0
top3_ew_buy_the_dip_25_50,breadth,buy_the_dip_25_50,2006-04-01,2026-01-02,80,82000.0,42000.0,40000.0,122000.0,551353.289392261,178310.54036407385,729663.8297563348,6.723820602344646,4.457763509101846,5.980851063576514,0.18387994446871356,0.13410885017020635,0.16821166294161766,0,252
top20_ew_baseline_hold,breadth,baseline_hold,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,145295.98996781008,133472.4487792003,278768.43874701037,4.273411469641473,3.9256602582117734,4.099535863926623,0.155625540860681,0.14711876438185073,0.15146715344608985,0,0
top20_ew_trailing_stop_25,breadth,trailing_stop_25,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,118120.3550221269,133472.4487792003,251592.8038013272,3.474128088886085,3.9256602582117734,3.699894173548929,0.13480001799405375,0.14711876438185073,0.1411587718755078,842,0
top20_ew_buy_the_dip_25_50,breadth,buy_the_dip_25_50,2009-04-01,2026-01-02,68,62525.0,28525.0,34000.0,96525.0,253184.39379750623,133472.4487792003,386656.84257670655,4.049330568532687,3.9256602582117734,4.005768894863575,0.17349029710573882,0.14711876438185073,0.16289220141155086,0,1141
ladder_top1_from_2009,breadth,baseline_hold,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,212319.76958516915,133472.4487792003,345792.2183643695,6.244699105446151,3.9256602582117734,5.085179681828963,0.19325760171371417,0.14711876438185073,0.17294807267760304,0,0
ladder_top3_from_2009,breadth,baseline_hold,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,256226.81225130745,133472.4487792003,389699.26103050774,7.536082713273749,3.9256602582117734,5.730871485742761,0.21174115159541962,0.14711876438185073,0.18478418456419285,0,0
ladder_top10_from_2009,breadth,baseline_hold,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,178098.26296604695,133472.4487792003,311570.71174524724,5.238184204883734,3.9256602582117734,4.581922231547754,0.1758881277690467,0.14711876438185073,0.16258459076146697,0,0
ladder_top20_from_2009,breadth,baseline_hold,2009-04-01,2026-01-02,68,34000.0,0.0,34000.0,68000.0,145295.98996781008,133472.4487792003,278768.43874701037,4.273411469641473,3.9256602582117734,4.099535863926623,0.155625540860681,0.14711876438185073,0.15146715344608985,0,0
