scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
monthly_baseline_hold,cadence,baseline_hold,1975-01-01,2026-01-02,613,102166.66666666666,0.0,102166.66666666666,204333.3333333333,2447952.230824956,5428886.9869589135,7876839.21778387,23.960380725856016,53.13755615294206,38.54896843939904,0.0973552715471576,0.11859594988110946,0.11008249173774083,0,0
monthly_trailing_stop_25,cadence,trailing_stop_25,1975-01-01,2026-01-02,613,102166.66666666666,0.0,102166.66666666666,204333.3333333333,5156381.971044285,5428886.9869589135,10585268.958003199,50.47029661707295,53.13755615294206,51.8039263850075,0.11723323739642262,0.11859594988110946,0.11792350939355897,664,0
monthly_buy_the_dip_25_50,cadence,buy_the_dip_25_50,1975-01-01,2026-01-02,613,269499.98399999994,167333.3173333333,102166.66666666666,371666.65066666657,5540708.880733549,5428886.9869589135,10969595.867692463,20.559217846682877,53.13755615294206,29.514608986348545,0.10284897978123683,0.11859594988110946,0.10991499145239943,0,1196
monthly_baseline_hold_from_1995,cadence,baseline_hold,1995-01-01,2026-01-02,373,62166.666666666664,0.0,62166.666666666664,124333.33333333333,441852.7097019186,439445.14767559356,881297.8573775121,7.107550290111291,7.068822750813838,7.088186520462564,0.10695117109021751,0.1066833338380534,0.10681744601216245,0,0
monthly_trailing_stop_25_from_1995,cadence,trailing_stop_25,1995-01-01,2026-01-02,373,62166.666666666664,0.0,62166.666666666664,124333.33333333333,480200.9941491497,439445.14767559356,919646.1418247432,7.724412774517154,7.068822750813838,7.396617762665495,0.11102091593116362,0.1066833338380534,0.10890288326054082,328,0
monthly_buy_the_dip_25_50_from_1995,cadence,buy_the_dip_25_50,1995-01-01,2026-01-02,373,149500.0,87333.33333333333,62166.666666666664,211666.66666666666,1071369.418181134,439445.14767559356,1510814.5658567275,7.166350623285177,7.068822750813838,7.137706610346744,0.1133320803520716,0.1066833338380534,0.11121841165451626,0,524
lump_sum_baseline_hold,cadence,baseline_hold,1975-01-01,2026-01-02,52,104000.0,0.0,104000.0,208000.0,2482605.2154447366,5864783.57978213,8347388.795226866,23.87120399466093,56.392149805597406,40.131676900129165,0.09658939362443304,0.11928372924833812,0.11035537953414644,0,0
lump_sum_trailing_stop_25,cadence,trailing_stop_25,1975-01-01,2026-01-02,52,104000.0,0.0,104000.0,208000.0,5217310.426145558,5864783.57978213,11082094.00592769,50.16644640524575,56.392149805597406,53.27929810542158,0.11621932264736708,0.11928372924833812,0.11779703896701917,52,0
lump_sum_buy_the_dip_25_50,cadence,buy_the_dip_25_50,1975-01-01,2026-01-02,52,273999.99199999997,169999.992,104000.0,377999.99199999997,6022636.691908791,5864783.57978213,11887420.27169092,21.98042652464308,56.392149805597406,31.44820244253053,0.10313921944759312,0.11928372924833812,0.1102914768369105,0,93
lump_sum_baseline_hold_from_1995,cadence,baseline_hold,1995-01-01,2026-01-02,32,64000.0,0.0,64000.0,128000.0,456354.52703687665,463799.07507194794,920153.6021088245,7.130539484951198,7.246860547999186,7.188700016475192,0.10610160100020913,0.10688279691559083,0.1064938726811647,0,0
lump_sum_trailing_stop_25_from_1995,cadence,trailing_stop_25,1995-01-01,2026-01-02,32,64000.0,0.0,64000.0,128000.0,525425.827723056,463799.07507194794,989224.902795004,8.209778558172749,7.246860547999186,7.728319553085968,0.11288161295334564,0.10688279691559083,0.1099808966602391,28,0
lump_sum_buy_the_dip_25_50_from_1995,cadence,buy_the_dip_25_50,1995-01-01,2026-01-02,32,154000.0,90000.0,64000.0,218000.0,1105257.4594257933,463799.07507194794,1569056.5344977411,7.176996489777879,7.246860547999186,7.197507038980464,0.11226243547623056,0.10688279691559083,0.11053520354150329,0,45
monthly_checks_trailing_stop_25,cadence,trailing_stop_25,1975-01-01,2026-01-02,613,102166.66666666666,0.0,102166.66666666666,204333.3333333333,5296465.504408831,5428886.9869589135,10725352.491367744,51.8414241867096,53.13755615294206,52.489490169825835,0.11794265574188502,0.11859594988110946,0.11827135214600012,664,0
monthly_checks_buy_the_dip_25_50,cadence,buy_the_dip_25_50,1975-01-01,2026-01-02,613,271333.3173333333,169166.65066666665,102166.66666666666,373499.98399999994,5459722.652842101,5428886.9869589135,10888609.639801014,20.12182914542273,53.13755615294206,29.15290523761044,0.10203493132081444,0.11859594988110946,0.10947829780044296,0,1207
monthly_checks_trailing_stop_25_from_1995,cadence,trailing_stop_25,1995-01-01,2026-01-02,373,62166.666666666664,0.0,62166.666666666664,124333.33333333333,508180.712813605,439445.14767559356,947625.8604891985,8.174488677966837,7.068822750813838,7.621655714390337,0.11377968782063264,0.1066833338380534,0.11036732064562085,328,0
monthly_checks_buy_the_dip_25_50_from_1995,cadence,buy_the_dip_25_50,1995-01-01,2026-01-02,373,151333.3333333333,89166.66666666666,62166.666666666664,213499.99999999997,1102497.537853472,439445.14767559356,1541942.6855290656,7.285226021058185,7.068822750813838,7.222213983742697,0.11308130990125614,0.1066833338380534,0.11109095746079668,0,535
