scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
att_sold_at_divestiture_baseline_hold,stock,612,1975-01-31,2025-12-31,0.10587517661846202,0.16538664479974313,0.4414575737303609,0.10816262280428135,0.6755955205108166,-0.5263402034240634,2000-09-01,2002-10-09,2007-05-18,2450
att_sold_at_divestiture_baseline_hold,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_sold_at_divestiture_baseline_hold,combined,612,1975-01-31,2025-12-31,0.11673164208122655,0.1489397673013975,0.5392124344274469,0.098463636394452,0.816639231899013,-0.5060222829277845,2007-10-09,2009-03-09,2011-02-17,1227
att_sold_at_divestiture_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.11655198159695157,0.14516959699012594,0.5478059153097833,0.09681714094109913,0.8231679955050326,-0.5296800098457649,2007-10-09,2009-03-09,2012-03-26,1630
att_sold_at_divestiture_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_sold_at_divestiture_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.12088053289074652,0.14669956490591532,0.5705413104792652,0.09775475465505634,0.8576154210630326,-0.5421068583016406,2007-10-09,2009-03-09,2012-03-26,1630
att_sold_at_divestiture_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.10605695269153248,0.19162500976842448,0.40588773397658545,0.12313335725473991,0.6319465793596173,-0.5544459416055647,2000-09-01,2002-10-09,2007-10-01,2586
att_sold_at_divestiture_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_sold_at_divestiture_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.11615969911651747,0.16018701446335082,0.5089584591775977,0.10406731334042373,0.7840011011066971,-0.5215620426376082,2000-09-01,2002-10-09,2007-05-18,2450
att_uswest_written_off_baseline_hold,stock,612,1975-01-31,2025-12-31,0.10169420526808093,0.16302995680468438,0.4217825023953187,0.10358461416837349,0.6636449778392917,-0.5696054548883183,1999-07-16,2002-10-09,2007-07-25,2931
att_uswest_written_off_baseline_hold,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_uswest_written_off_baseline_hold,combined,612,1975-01-31,2025-12-31,0.11530739413334334,0.14390664030977499,0.5440053689616101,0.09430846458808985,0.8307069858864609,-0.49618578805073144,2000-04-07,2002-10-09,2007-01-24,2483
att_uswest_written_off_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.11902036848660469,0.1431919226256408,0.568776102324538,0.09434981866083215,0.8648151798386238,-0.5315243365807284,2007-10-09,2009-03-09,2012-03-26,1630
att_uswest_written_off_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_uswest_written_off_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.12200354094200483,0.1443964248196419,0.584205539368584,0.09566002761900813,0.8832015502397932,-0.5425071222447972,2007-10-09,2009-03-09,2012-03-26,1630
att_uswest_written_off_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.10526443943787345,0.18303637320767735,0.41194093525133785,0.11547032737171997,0.6529732142463617,-0.578391731833447,1999-07-16,2002-10-09,2008-05-14,3225
att_uswest_written_off_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
att_uswest_written_off_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.11517371200288462,0.15527125496947672,0.5142713818902171,0.10010694698895661,0.7979689639328726,-0.5224636623879145,1999-07-16,2002-10-09,2007-05-16,2861
