symbol,status,first,last,rows,error
IBM,ok,1962-01-02,2026-09-17,16286,
XOM,ok,1962-01-02,2026-09-17,16286,
GE,ok,1962-01-02,2026-09-17,16286,
MSFT,ok,1986-03-13,2026-09-17,10207,
AAPL,ok,1980-12-12,2026-09-17,11533,
NVDA,ok,1999-01-22,2026-09-17,6956,
CSCO,ok,1990-02-16,2026-09-17,9212,
WMT,ok,1972-08-25,2026-09-17,13627,
MO,ok,1962-01-02,2026-09-17,16286,
KO,ok,1962-01-02,2026-09-17,16286,
GOOGL,ok,2004-08-19,2026-09-17,5555,
AMZN,ok,1997-05-15,2026-09-17,7381,
META,ok,2012-05-18,2026-09-17,3603,
BRK-B,ok,1996-05-09,2026-09-17,7638,
TSLA,ok,2010-06-29,2026-09-17,4080,
AVGO,ok,2009-08-06,2026-09-17,4305,
LLY,ok,1972-06-01,2026-09-17,13687,
JPM,ok,1980-03-17,2026-09-17,11721,
V,ok,2008-03-19,2026-09-17,4654,
MA,ok,2006-05-25,2026-09-17,5110,
UNH,ok,1984-10-17,2026-09-17,10560,
JNJ,ok,1962-01-02,2026-09-17,16286,
PG,ok,1962-01-02,2026-09-17,16286,
HD,ok,1981-09-22,2026-09-17,11338,
ORCL,ok,1986-03-12,2026-09-17,10208,
PEP,ok,1972-06-01,2026-09-17,13687,
INTC,ok,1980-03-17,2026-09-17,11721,
PFE,ok,1972-06-01,2026-09-17,13687,
MRK,ok,1962-01-02,2026-09-17,16286,
C,ok,1977-01-03,2026-09-17,12530,
BAC,ok,1973-02-21,2026-09-17,13507,
WFC,ok,1972-06-01,2026-09-17,13687,
CVX,ok,1962-01-02,2026-09-17,16286,
T,ok,1983-11-21,2026-09-17,10789,
VZ,ok,1983-11-21,2026-09-17,10789,
PM,ok,2008-03-17,2026-09-17,4656,
AIG,ok,1973-01-02,2026-09-17,13541,
ABBV,ok,2013-01-02,2026-09-17,3448,
ABT,ok,1980-03-17,2026-09-17,11721,
AMGN,ok,1983-06-17,2026-09-17,10898,
QCOM,ok,1991-12-13,2026-09-17,8751,
HPQ,ok,1962-01-02,2026-09-17,16286,
TXN,ok,1972-06-01,2026-09-17,13687,
CMCSA,ok,1980-03-17,2026-09-17,11721,
COST,ok,1986-07-09,2026-09-17,10126,
NFLX,ok,2002-05-23,2026-09-17,6119,
CRM,ok,2004-06-23,2026-09-17,5595,
ADBE,ok,1986-08-13,2026-09-17,10101,
TMO,ok,1980-03-17,2026-09-17,11721,
MCD,ok,1966-07-05,2026-09-17,15151,
DIS,ok,1962-01-02,2026-09-17,16286,
BA,ok,1962-01-02,2026-09-17,16286,
MMM,ok,1962-01-02,2026-09-17,16286,
CAT,ok,1962-01-02,2026-09-17,16286,
GS,ok,1999-05-04,2026-09-17,6886,
MS,ok,1993-02-23,2026-09-17,8450,
AXP,ok,1972-06-01,2026-09-17,13687,
HON,ok,1962-01-02,2026-09-17,16286,
NKE,ok,1980-12-02,2026-09-17,11541,
SBUX,ok,1992-06-26,2026-09-17,8616,
TMUS,ok,2007-04-19,2026-09-17,4885,
PLTR,ok,2020-09-30,2026-09-17,1498,
AMD,ok,1980-03-17,2026-09-17,11721,
SLB,ok,1981-12-31,2026-09-17,11268,
COP,ok,1981-12-31,2026-09-17,11268,
MDT,ok,1973-05-02,2026-09-17,13458,
UPS,ok,1999-11-10,2026-09-17,6753,
BMY,ok,1972-06-01,2026-09-17,13687,
GILD,ok,1992-01-22,2026-09-18,8726,
PYPL,ok,2015-07-06,2026-09-18,2819,
ACN,ok,2001-07-19,2026-09-18,6329,
DHR,ok,1978-12-29,2026-09-18,12028,
LIN,ok,1992-06-17,2026-09-18,8624,
NEE,ok,1973-02-21,2026-09-18,13508,
UNP,ok,1980-01-02,2026-09-18,11774,
CVS,ok,1973-02-21,2026-09-18,13508,
NOW,ok,2012-06-29,2026-09-18,3575,
INTU,ok,1993-03-12,2026-09-18,8438,
UBER,ok,2019-05-10,2026-09-18,1850,
BKNG,ok,1999-03-31,2026-09-18,6910,
ISRG,ok,2000-06-16,2026-09-18,6603,
AMAT,ok,1980-03-17,2026-09-18,11722,
LOW,ok,1980-03-17,2026-09-18,11722,
SPGI,ok,1973-02-21,2026-09-18,13508,
BLK,ok,1999-10-01,2026-09-18,6782,
SCHW,ok,1987-09-22,2026-09-18,9822,
LMT,ok,1962-01-02,2026-09-18,16286,
RTX,ok,1962-04-02,2026-09-18,16224,
TJX,ok,1987-06-26,2026-09-18,9882,
MU,ok,1984-06-01,2026-09-18,10657,
ANET,ok,2014-06-06,2026-09-18,3090,
APP,ok,2021-04-15,2026-09-18,1364,
PGR,ok,1980-03-17,2026-09-18,11722,
BSX,ok,1992-05-19,2026-09-18,8644,
GEV,ok,2024-03-27,2026-09-17,621,
^GSPC,ok,1927-12-30,2026-09-17,24795,
^SP500TR,ok,1988-01-04,2026-09-17,9750,
