check,symbol,date,series,reference,deviation,flag,source
anchor,IBM,1980-12-31,67.875,67.875,-0.0,False,UPI 1981-12-31: IBM 'lost 11 to 56' in 1981 -> 1980 close ~67 7/8
anchor,IBM,1981-12-31,56.875,56.875,-0.0,False,https://www.upi.com/Archives/1981/12/31/Stocks-wind-up-1981-with-a-loss-and-record-volume/1888378622800/
anchor,IBM,1982-12-31,96.25,96.25,-0.0,False,https://www.upi.com/Archives/1982/12/31/Stocks-score-best-gain-in-7-years-on-record-volume-in-historic-1982/6401410158800/
anchor,T_OLD,1981-12-31,58.81,58.75,0.001,False,UPI 1981-12-31: AT&T 'up 10 to 58' (58 3/4); HSI series is the last-day high-low average
anchor,T_OLD,1983-12-30,61.43,61.5,-0.0011,False,"https://bimajority.org/~wollman/t.html ($6,150 per 100 shares)"
anchor,T_CORP,1983-12-30,18.0,18.0,0.0,False,"https://bimajority.org/~wollman/t.html ($1,800 per 100 shares, first business day)"
anchor,XOM,1994-02-28,64.875,64.875,0.0,False,Exxon 10-K FY1993 cover: closing price $64 7/8 on 1994-02-28
anchor,XOM,2005-02-18,59.41,59.41,-0.0,False,https://www.nbcnews.com/news/amp/wbna6994181
anchor,GE,2005-02-18,35.88,35.88,-0.0,False,https://www.nbcnews.com/news/amp/wbna6994181
anchor,GE,1998-09-04,75.875,75.5,0.005,False,https://archive.seattletimes.com/archive/?date=19980905&slug=2770248
anchor,MSFT,1998-09-04,96.625,96.625,0.0,False,https://archive.seattletimes.com/archive/?date=19980905&slug=2770248
anchor,AAPL,2011-08-09,374.01,374.01,0.0,False,https://www.washingtonpost.com/business/economy/apple-overtakes-exxon-mobil-as-most-valuable-company/2011/08/09/gIQACYWq4I_story.html
anchor,NVDA,2024-06-18,135.58,135.58,0.0,False,https://www.cnbc.com/2024/06/18/nvidia-passes-microsoft-in-market-cap-is-most-valuable-public-company.html
anchor,T,2005-01-28,23.62,23.62,-0.0,False,SBC close in AT&T Corp merger proxy (SEC DEFM14A)
anchor,T,2014-05-07,35.76,35.76,0.0,False,"https://bimajority.org/~wollman/t.html (604 T = $21,599.04)"
anchor,VZ,2014-05-07,48.1,48.1,-0.0,False,"https://bimajority.org/~wollman/t.html (166 VZ = $7,984.60)"
anchor,T_CORP,1984-12-31,19.75,19.5,0.0128,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1985-12-31,25.0,25.0,0.0,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1986-12-31,25.13,25.0,0.0052,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1987-12-31,27.0,27.0,0.0,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1988-12-31,28.75,28.75,0.0,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1989-12-31,45.5,45.5,0.0,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1990-12-31,30.13,30.125,0.0002,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1991-12-31,39.13,39.125,0.0001,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1992-12-31,52.0,51.0,0.0196,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
anchor,T_CORP,1993-12-31,52.5,52.5,0.0,False,AT&T Corp 10-K FY1993 ten-year table (year-end stock price)
cmc_implied_shares,AAPL,,123 quarters,companiesmarketcap,0.1717,True,1999-06-30:+17%
cmc_implied_shares,ABBV,,55 quarters,companiesmarketcap,0.1935,True,2020-06-30:+19%
cmc_implied_shares,ABT,,123 quarters,companiesmarketcap,0.522,True,2013-03-31:+52%; 2017-03-31:+18%
cmc_implied_shares,ADBE,,123 quarters,companiesmarketcap,0.1971,True,2005-12-31:+20%
cmc_implied_shares,AIG,,123 quarters,companiesmarketcap,11.7914,True,1999-03-31:+18%; 2001-09-30:+11%; 2011-03-31:+1179%; 2012-12-31:+15%
cmc_implied_shares,AMD,,123 quarters,companiesmarketcap,0.3415,True,2004-12-31:+10%; 2006-03-31:+11%; 2006-12-31:+12%; 2016-09-30:+16%; 2022-03-31:+34%; 2026-09-30:+12%
cmc_implied_shares,AMGN,,123 quarters,companiesmarketcap,0.2437,True,2002-09-30:+24%; 2012-03-31:+11%
cmc_implied_shares,AMZN,,118 quarters,companiesmarketcap,0.0615,False,
cmc_implied_shares,AVGO,,68 quarters,companiesmarketcap,0.4122,True,2016-03-31:+41%; 2024-03-31:+12%
cmc_implied_shares,AXP,,123 quarters,companiesmarketcap,0.1234,True,2005-12-31:+12%
cmc_implied_shares,BA,,123 quarters,companiesmarketcap,0.3487,True,1998-03-31:+35%; 2024-12-31:+21%
cmc_implied_shares,BAC,,123 quarters,companiesmarketcap,0.8139,True,1997-03-31:+21%; 1998-03-31:+34%; 1998-09-30:+81%; 2004-06-30:+41%; 2005-12-31:+16%; 2009-03-31:+28%; 2009-06-30:+35%; 2010-03-31:+16%
cmc_implied_shares,BMY,,123 quarters,companiesmarketcap,0.3675,True,2009-12-31:+14%; 2019-12-31:+37%
cmc_implied_shares,BRK-B,,122 quarters,companiesmarketcap,0.1908,True,1999-03-31:+19%
cmc_implied_shares,C,,123 quarters,companiesmarketcap,3.1513,True,1997-12-31:+19%; 1998-12-31:+110%; 2000-12-31:+12%; 2009-09-30:+315%; 2009-12-31:+25%; 2023-06-30:+11%; 2026-03-31:+13%
cmc_implied_shares,CAT,,123 quarters,companiesmarketcap,0.0846,False,
cmc_implied_shares,CMCSA,,123 quarters,companiesmarketcap,53.3859,True,1999-12-31:+56%; 2001-03-31:+14%; 2002-09-30:+5339%; 2015-12-31:+16%
cmc_implied_shares,COP,,123 quarters,companiesmarketcap,0.766,True,2001-09-30:+49%; 2002-09-30:+77%; 2006-03-31:+20%; 2012-06-30:+24%; 2021-03-31:+27%
cmc_implied_shares,COST,,123 quarters,companiesmarketcap,0.0719,False,
cmc_implied_shares,CRM,,90 quarters,companiesmarketcap,0.126,True,2006-06-30:+10%; 2019-09-30:+13%
cmc_implied_shares,CSCO,,123 quarters,companiesmarketcap,0.1404,True,1996-09-30:+14%
cmc_implied_shares,CVX,,123 quarters,companiesmarketcap,0.6756,True,2003-12-31:+68%; 2025-09-30:+19%
cmc_implied_shares,DIS,,123 quarters,companiesmarketcap,0.1984,True,2006-06-30:+11%; 2019-03-31:+20%
cmc_implied_shares,GE,,123 quarters,companiesmarketcap,0.2555,True,2023-03-31:+26%; 2024-06-30:+20%
cmc_implied_shares,GOOGL,,51 quarters,companiesmarketcap,0.0589,False,
cmc_implied_shares,GS,,110 quarters,companiesmarketcap,0.1678,True,2009-03-31:+17%; 2009-06-30:+11%
cmc_implied_shares,HD,,123 quarters,companiesmarketcap,0.1468,True,2007-12-31:+15%
cmc_implied_shares,HON,,123 quarters,companiesmarketcap,0.5177,True,1998-03-31:+13%; 1999-12-31:+45%; 2026-09-30:+52%
cmc_implied_shares,HPQ,,123 quarters,companiesmarketcap,0.578,True,2002-06-30:+58%; 2015-12-31:+55%
cmc_implied_shares,IBM,,123 quarters,companiesmarketcap,0.0838,False,
cmc_implied_shares,INTC,,123 quarters,companiesmarketcap,0.1778,True,2023-06-30:+18%; 2025-09-30:+12%; 2026-09-30:+14%
cmc_implied_shares,JNJ,,123 quarters,companiesmarketcap,0.1752,True,2023-03-31:+18%; 2023-06-30:+15%
cmc_implied_shares,JPM,,123 quarters,companiesmarketcap,0.7446,True,1996-06-30:+74%; 2000-12-31:+47%; 2004-09-30:+71%
cmc_implied_shares,KO,,123 quarters,companiesmarketcap,0.0347,False,
cmc_implied_shares,LLY,,123 quarters,companiesmarketcap,0.0821,False,
cmc_implied_shares,MA,,82 quarters,companiesmarketcap,0.3311,True,2013-12-31:+33%; 2014-03-31:+27%
cmc_implied_shares,MCD,,123 quarters,companiesmarketcap,0.0323,False,
cmc_implied_shares,MDT,,123 quarters,companiesmarketcap,0.4478,True,1999-03-31:+20%; 2015-03-31:+45%
cmc_implied_shares,META,,58 quarters,companiesmarketcap,0.1072,True,2012-12-31:+11%
cmc_implied_shares,MMM,,123 quarters,companiesmarketcap,0.1639,True,2024-06-30:+16%
cmc_implied_shares,MO,,123 quarters,companiesmarketcap,0.0372,False,
cmc_implied_shares,MRK,,123 quarters,companiesmarketcap,0.4737,True,2009-12-31:+47%
cmc_implied_shares,MS,,123 quarters,companiesmarketcap,0.8053,True,1997-06-30:+81%; 2009-06-30:+26%; 2011-06-30:+25%; 2020-12-31:+15%
cmc_implied_shares,MSFT,,123 quarters,companiesmarketcap,0.0444,False,
cmc_implied_shares,NFLX,,98 quarters,companiesmarketcap,0.2622,True,2004-06-30:+26%; 2006-06-30:+22%
cmc_implied_shares,NKE,,123 quarters,companiesmarketcap,0.037,False,
cmc_implied_shares,NVDA,,111 quarters,companiesmarketcap,0.5696,True,2000-09-30:+52%; 2001-12-31:+33%; 2002-03-31:+57%; 2002-09-30:+33%; 2004-09-30:+51%; 2017-03-31:+10%
cmc_implied_shares,ORCL,,123 quarters,companiesmarketcap,0.0692,False,
cmc_implied_shares,PEP,,123 quarters,companiesmarketcap,0.2127,True,2001-09-30:+21%
cmc_implied_shares,PFE,,123 quarters,companiesmarketcap,0.6435,True,2000-06-30:+64%; 2003-03-31:+28%; 2009-12-31:+20%
cmc_implied_shares,PG,,123 quarters,companiesmarketcap,0.3833,True,2005-12-31:+38%
cmc_implied_shares,PLTR,,25 quarters,companiesmarketcap,2.7821,True,2020-12-31:+278%
cmc_implied_shares,PM,,75 quarters,companiesmarketcap,0.0668,False,
cmc_implied_shares,QCOM,,123 quarters,companiesmarketcap,0.1764,True,2018-12-31:+18%
cmc_implied_shares,SBUX,,123 quarters,companiesmarketcap,0.0927,False,
cmc_implied_shares,SLB,,123 quarters,companiesmarketcap,0.1434,True,2010-09-30:+14%; 2016-06-30:+11%; 2025-09-30:+14%
cmc_implied_shares,T,,123 quarters,companiesmarketcap,0.6239,True,1997-06-30:+47%; 1999-12-31:+62%; 2005-12-31:+17%; 2006-12-31:+62%; 2015-09-30:+18%; 2018-06-30:+19%; 2022-06-30:+25%; 2026-09-30:+10%
cmc_implied_shares,TMO,,123 quarters,companiesmarketcap,1.6407,True,2000-09-30:+16%; 2006-12-31:+164%; 2014-03-31:+10%
cmc_implied_shares,TMUS,,78 quarters,companiesmarketcap,2.9413,True,2013-06-30:+294%; 2013-12-31:+10%; 2020-06-30:+44%
cmc_implied_shares,TSLA,,66 quarters,companiesmarketcap,0.1649,True,2016-06-30:+11%; 2026-09-30:+16%
cmc_implied_shares,TXN,,123 quarters,companiesmarketcap,0.0545,False,
cmc_implied_shares,UNH,,123 quarters,companiesmarketcap,0.0812,False,
cmc_implied_shares,UPS,,108 quarters,companiesmarketcap,0.05,False,
cmc_implied_shares,V,,74 quarters,companiesmarketcap,0.2211,True,2008-09-30:+22%; 2009-06-30:+17%
cmc_implied_shares,VZ,,123 quarters,companiesmarketcap,0.7753,True,1997-09-30:+78%; 2000-06-30:+76%; 2014-03-31:+45%
cmc_implied_shares,WFC,,123 quarters,companiesmarketcap,1.1403,True,1998-12-31:+114%; 2009-03-31:+27%; 2009-06-30:+10%; 2009-12-31:+11%
cmc_implied_shares,WMT,,123 quarters,companiesmarketcap,0.0459,False,
cmc_implied_shares,XOM,,123 quarters,companiesmarketcap,0.4322,True,1999-12-31:+43%; 2024-06-30:+13%
