scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
alt_on_LOW_rows_baseline_hold,stock,612,1975-01-31,2025-12-31,0.10355653809898646,0.17332553587050104,0.4161789512921995,0.10912964429446717,0.6609107095039821,-0.5652745704412674,1999-07-16,2002-10-09,2007-07-23,2929
alt_on_LOW_rows_baseline_hold,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
alt_on_LOW_rows_baseline_hold,combined,612,1975-01-31,2025-12-31,0.11624296491720898,0.14793550733439387,0.5387624493120966,0.09616649761618913,0.8294211456872405,-0.49410973064508523,2000-04-07,2002-10-09,2007-01-12,2471
alt_on_LOW_rows_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.12083520845866369,0.14829792335810954,0.5650753389343481,0.09678021783928861,0.8674275390273603,-0.5319031594404438,2007-10-09,2009-03-09,2012-03-26,1630
alt_on_LOW_rows_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
alt_on_LOW_rows_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.12289098747750327,0.14718383543149963,0.5812673320432173,0.09693703049305984,0.8838881935345716,-0.542691878968504,2007-10-09,2009-03-09,2012-03-26,1630
alt_on_LOW_rows_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.10654443974164862,0.19522171109170847,0.4036810655480988,0.12257381130581738,0.6429715536546919,-0.5752772288436593,1999-07-16,2002-10-09,2008-05-12,3223
alt_on_LOW_rows_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
alt_on_LOW_rows_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.11593174588470023,0.16093264037343888,0.5058558130205366,0.10299210026812419,0.7907534927142214,-0.5214777941789208,1999-07-16,2002-10-09,2007-05-16,2861
only_HIGH_rows_buy_top1_baseline_hold,stock,612,1975-01-31,2025-12-31,0.12130658052362286,0.14917183752879767,0.566319579838204,0.09891726936916836,0.8549920962838191,-0.5261663152416818,2007-10-09,2009-03-09,2012-02-03,1578
