scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
alt_on_LOW_rows_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2425952.508841796,5508523.137345157,7934475.6461869525,23.667829354554105,53.741689144830794,38.70475924969245,0.09690059482739269,0.11873237878752335,0.11004285263178928,0,0
alt_on_LOW_rows_trailing_stop_25,data_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5019178.320237509,5508523.137345157,10527701.457582666,48.96759336817082,53.741689144830794,51.354641256500805,0.1162747395447771,0.11873237878752335,0.11753260395609495,214,0
alt_on_LOW_rows_buy_the_dip_25_50,data_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,269999.988,167499.988,102500.0,372499.988,5826409.1918372195,5508523.137345157,11334932.329182375,21.579294262180557,53.741689144830794,30.429349514992133,0.10333240544539463,0.11873237878752335,0.11010181648567685,0,383
only_HIGH_rows_buy_top1_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,4896226.253205943,5508523.137345157,10404749.3905511,47.76806100688725,53.741689144830794,50.75487507585902,0.1156188857188265,0.11873237878752335,0.1172222361227076,0,0
only_HIGH_rows_buy_top1_trailing_stop_25,data_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5329157.075716864,5508523.137345157,10837680.213062022,51.991776348457215,53.741689144830794,52.86673274664401,0.11785829855796988,0.11873237878752335,0.11829901397577866,99,0
only_HIGH_rows_buy_top1_buy_the_dip_25_50,data_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,179499.999,76999.999,102500.0,281999.999,5968106.122280014,5508523.137345157,11476629.25962517,33.24850225921178,53.741689144830794,40.697267022419986,0.11544004347535379,0.11873237878752335,0.11700644463523291,0,158
HIGH_MEDIUM_rows_buy_top1_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2780484.527175327,5508523.137345157,8289007.664520483,27.12667831390563,53.741689144830794,40.434183729368215,0.10056279828243386,0.11873237878752335,0.11120328809356406,0,0
HIGH_MEDIUM_rows_buy_top1_trailing_stop_25,data_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5085651.762424618,5508523.137345157,10594174.899769776,49.616114755362126,53.741689144830794,51.67890195009647,0.11662254867247937,0.11873237878752335,0.11769887160346182,203,0
HIGH_MEDIUM_rows_buy_top1_buy_the_dip_25_50,data_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,259499.988,156999.988,102500.0,361999.988,5787125.038465791,5508523.137345157,11295648.175810948,22.30106090974382,53.741689144830794,31.203449033846233,0.10458474847783993,0.11873237878752335,0.11090071164328622,0,362
pre1996_rows_to_index_baseline_hold,data_sensitivity,baseline_hold,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5524086.174788043,5508523.137345157,11032609.3121332,53.89352365646871,53.741689144830794,53.81760640064976,0.1188068517290178,0.11873237878752335,0.11876964194017518,0,0
pre1996_rows_to_index_trailing_stop_25,data_sensitivity,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,5506149.702172222,5508523.137345157,11014672.839517377,53.71853367972899,53.741689144830794,53.73011141227989,0.11872100253748635,0.11873237878752335,0.11872669128511681,106,0
pre1996_rows_to_index_buy_the_dip_25_50,data_sensitivity,buy_the_dip_25_50,1975-01-01,2026-01-02,205,186500.0,84000.0,102500.0,289000.0,6145531.725254196,5508523.137345157,11654054.862599352,32.95191273594743,53.741689144830794,40.32544935155485,0.1190031454497881,0.11873237878752335,0.11887138084632812,0,168
top1_from_1996_baseline_hold,window,baseline_hold,1996-01-01,2026-01-02,121,60500.0,0.0,60500.0,121000.0,413503.1889201199,397940.15147723997,811443.3403973598,6.834763453225122,6.577523164913058,6.706143309069089,0.10851550882684179,0.10656480772743622,0.1075500710940742,0,0
top1_from_1996_trailing_stop_25,window,trailing_stop_25,1996-01-01,2026-01-02,121,60500.0,0.0,60500.0,121000.0,395566.7163042991,397940.15147723997,793506.867781539,6.538292831476018,6.577523164913058,6.557907998194537,0.10626022247413966,0.10656480772743622,0.10641275673699482,106,0
top1_from_1996_buy_the_dip_25_50,window,buy_the_dip_25_50,1996-01-01,2026-01-02,121,144500.0,84000.0,60500.0,205000.0,1034948.7393862732,397940.15147723997,1432888.890863513,7.162275013053794,6.577523164913058,6.989701906651283,0.11629306996439018,0.10656480772743622,0.11330192668919895,0,168
