scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
fundamental_baseline_hold,stock,165,2012-04-30,2025-12-31,0.20477263731684392,0.22293099169824335,0.8826617015653819,0.13361550894731686,1.4716264489419655,-0.43797157550761157,2012-09-19,2013-04-19,2014-07-28,677
fundamental_baseline_hold,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
fundamental_baseline_hold,combined,165,2012-04-30,2025-12-31,0.18289953215525223,0.17506394383034765,0.9637907123916308,0.10337716104596718,1.630633905831186,-0.3215939124102136,2021-12-27,2022-11-03,2023-07-17,567
fundamental_trailing_stop_25,stock,165,2012-04-30,2025-12-31,0.15138452333816343,0.1794164633978753,0.7924374887945193,0.11244068746910629,1.2638152104051534,-0.4112460938311815,2012-09-19,2013-04-18,2014-10-29,770
fundamental_trailing_stop_25,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
fundamental_trailing_stop_25,combined,165,2012-04-30,2025-12-31,0.14971530586873327,0.1511671188089135,0.899771280770605,0.09195309500702095,1.478297746460231,-0.3254648159518613,2020-02-19,2020-03-23,2020-07-20,152
fundamental_buy_the_dip_25_50,stock,165,2012-04-30,2025-12-31,0.21224739226526768,0.23225585815386363,0.8836253883010138,0.13889401005281954,1.4760384742702906,-0.43797157550761134,2012-09-19,2013-04-19,2014-07-23,672
fundamental_buy_the_dip_25_50,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
fundamental_buy_the_dip_25_50,combined,165,2012-04-30,2025-12-31,0.19778537402536522,0.18888515564474775,0.9739207973953927,0.11052327202945021,1.6623285977138795,-0.359050974012483,2021-12-27,2022-11-03,2023-06-30,550
growth_only_baseline_hold,stock,165,2012-04-30,2025-12-31,0.18675694921222807,0.21906845696311847,0.8255951433387348,0.13217060118142532,1.3654481923471549,-0.4854896925527842,2021-12-27,2022-11-03,2023-12-21,724
growth_only_baseline_hold,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
growth_only_baseline_hold,combined,165,2012-04-30,2025-12-31,0.17126533750862682,0.1718282894784073,0.9217181837403007,0.10309632752141455,1.5328312924622807,-0.38046751889985364,2021-12-27,2022-11-03,2023-12-18,721
margin_only_baseline_hold,stock,165,2012-04-30,2025-12-31,0.15094386652599945,0.1747407572172571,0.8076335424661426,0.1080908229576558,1.303076113335587,-0.3331978097352922,2020-02-19,2020-03-23,2020-07-31,163
margin_only_baseline_hold,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
margin_only_baseline_hold,combined,165,2012-04-30,2025-12-31,0.14842250141072788,0.15150136319120872,0.8917660584622493,0.09403345559673537,1.4344355873265686,-0.335377473962706,2020-02-19,2020-03-23,2020-08-03,166
