scenario,window,leg,xirr,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,periods,first_period,last_period
Baseline hold,1975–2026,stock,0.0972795929645281,0.10288756593470905,0.16219102304339594,0.42989623855069165,0.10273879528864911,0.6783610848239928,-0.5692169995526584,1999-07-16,2002-10-09,2007-07-25,2931,612,1975-01-31,2025-12-31
Baseline hold,1975–2026,index,0.11873237878752335,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,612,1975-01-31,2025-12-31
Baseline hold,1975–2026,combined,0.11015782105907056,0.11570969903056283,0.14357095368129902,0.547516519299415,0.09393533300683998,0.8373329940421523,-0.4961568164887503,2000-04-07,2002-10-09,2007-01-24,2483,612,1975-01-31,2025-12-31
25% trailing stop → index,1975–2026,stock,0.11721057475720681,0.12014576866127413,0.14338570151355742,0.5753554628777428,0.09430348870430168,0.8762736595711583,-0.5322591609584393,2007-10-09,2009-03-09,2012-03-26,1630,612,1975-01-31,2025-12-31
25% trailing stop → index,1975–2026,index,0.11873237878752335,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,612,1975-01-31,2025-12-31
25% trailing stop → index,1975–2026,combined,0.11798261611928904,0.12253434480087089,0.14426447953786473,0.5879497441876761,0.09549098970435255,0.8895499276501769,-0.5426770542509585,2007-10-09,2009-03-09,2012-03-26,1630,612,1975-01-31,2025-12-31
Buy the dip −25%/−50%,1975–2026,stock,0.10279441241829704,0.10623338690299544,0.1809259769442289,0.41954603824194964,0.1138371032313703,0.6667276190728921,-0.5778434561084187,1999-07-16,2002-10-09,2008-05-14,3225,612,1975-01-31,2025-12-31
Buy the dip −25%/−50%,1975–2026,index,0.11873237878752335,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,612,1975-01-31,2025-12-31
Buy the dip −25%/−50%,1975–2026,combined,0.10997305957903473,0.11555293144398404,0.15460706996820375,0.5180579525664303,0.0995449925984863,0.8048596809988765,-0.5229917947885904,1999-07-16,2002-10-09,2007-05-16,2861,612,1975-01-31,2025-12-31
Baseline hold,1995–2026,stock,0.10655501379807106,0.11706445618679617,0.2123930772460368,0.5202239222839505,0.1350823584704545,0.8164728799763051,-0.7637645957641481,2000-08-28,2009-03-05,2018-10-03,6610,372,1995-01-31,2025-12-31
Baseline hold,1995–2026,index,0.10679156172185587,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,372,1995-01-31,2025-12-31
Baseline hold,1995–2026,combined,0.10667343919914875,0.1153450380008656,0.1728232607010221,0.5865127276203803,0.11263480731335086,0.8983912111576663,-0.6490273863503766,2000-08-28,2009-03-05,2013-10-18,4799,372,1995-01-31,2025-12-31
25% trailing stop → index,1995–2026,stock,0.11142682464809531,0.12964092645436498,0.17085548740151366,0.6659932196304471,0.10509203978853425,1.0801583456339214,-0.5316851985585687,2007-10-09,2009-03-05,2012-09-07,1795,372,1995-01-31,2025-12-31
25% trailing stop → index,1995–2026,index,0.10679156172185587,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,372,1995-01-31,2025-12-31
25% trailing stop → index,1995–2026,combined,0.10916733789114244,0.12160195069845758,0.15842375757542387,0.6601834170182274,0.10211564956432381,1.0224078682573892,-0.5408281335821349,2007-10-09,2009-03-09,2012-09-06,1794,372,1995-01-31,2025-12-31
Buy the dip −25%/−50%,1995–2026,stock,0.1130089648221112,0.12135406645851998,0.2139814797747185,0.5361182355860707,0.1358975173894669,0.8427037760672926,-0.7676297433566477,2000-08-28,2009-03-05,2015-11-11,5553,372,1995-01-31,2025-12-31
Buy the dip −25%/−50%,1995–2026,index,0.10679156172185587,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,372,1995-01-31,2025-12-31
Buy the dip −25%/−50%,1995–2026,combined,0.11103178067320885,0.11632443516814495,0.18247666946260177,0.5697964630149597,0.11863848245942235,0.8750232426384964,-0.6886510125398098,2000-08-28,2009-03-05,2013-11-06,4818,372,1995-01-31,2025-12-31
"Top-10 equal-weight, baseline hold",2006–2026 (from 2006-04-01),stock,0.14671210528376866,0.11345483468574025,0.14243501839711967,0.7189081738662448,0.0927484713954895,1.1034145538655002,-0.5136372005331624,2007-10-09,2009-03-09,2012-08-03,1760,237,2006-04-30,2025-12-31
"Top-10 equal-weight, baseline hold",2006–2026 (from 2006-04-01),index,0.13410885017020635,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,237,2006-04-30,2025-12-31
"Top-10 equal-weight, baseline hold",2006–2026 (from 2006-04-01),combined,0.14066417418905808,0.11164623950843278,0.14446114159955656,0.6994365345932941,0.09582451703437804,1.054195777059124,-0.5332659687736223,2007-10-09,2009-03-09,2012-08-07,1764,237,2006-04-30,2025-12-31
