date,ticker,action,amount,origin_date
1980-04-01,IBM,partial_trim,323.99825891244615,1975-04-01
1980-04-01,IBM,partial_trim,318.0451164046881,1975-07-01
1980-04-01,IBM,partial_trim,358.2195348503665,1975-10-01
1980-04-01,IBM,partial_trim,290.52438293650295,1976-01-01
1980-04-01,IBM,partial_trim,247.250566775877,1976-04-01
1980-04-01,IBM,partial_trim,234.1158510343926,1976-07-01
1980-04-01,IBM,partial_trim,227.2452502672057,1976-10-01
1980-04-01,IBM,partial_trim,226.4473767395451,1977-01-01
1980-04-01,IBM,partial_trim,225.29134417832742,1977-04-01
1980-04-01,IBM,partial_trim,222.52144378263944,1978-01-01
1980-04-01,IBM,partial_trim,195.33528382372495,1979-01-01
1980-04-01,IBM,partial_trim,182.71547398627183,1979-04-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),406.6460977350507,1975-01-01
1984-01-01,T_OLD,value_split->T (x0.4637),657.5915097814222,1975-01-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),353.9162483368626,1975-01-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),242.5754396225524,1977-07-01
1984-01-01,T_OLD,value_split->T (x0.4637),392.2711922375766,1977-07-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),211.1206525970775,1977-07-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),239.0637785060092,1977-10-01
1984-01-01,T_OLD,value_split->T (x0.4637),386.5924495954354,1977-10-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),208.06434900847853,1977-10-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),237.72376616361555,1978-04-01
1984-01-01,T_OLD,value_split->T (x0.4637),384.42550210898855,1978-04-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),206.89809623097358,1978-04-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),238.11213502084928,1978-07-01
1984-01-01,T_OLD,value_split->T (x0.4637),385.0535373086447,1978-07-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),207.23610525082796,1978-07-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),226.2460492578636,1978-10-01
1984-01-01,T_OLD,value_split->T (x0.4637),365.8647702319675,1978-10-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),196.9086962849719,1978-10-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),255.30148816801383,1980-04-01
1984-01-01,T_OLD,value_split->T (x0.4637),412.85061381120784,1980-04-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),222.19651286586836,1980-04-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),228.89263190916031,1980-07-01
1984-01-01,T_OLD,value_split->T (x0.4637),370.1445857549028,1980-07-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),199.21209623907802,1980-07-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),227.53832483806684,1980-10-01
1984-01-01,T_OLD,value_split->T (x0.4637),367.9545221183687,1980-10-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),198.03340233209806,1980-10-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),215.83673849919907,1981-04-01
1984-01-01,T_OLD,value_split->T (x0.4637),349.03176872107116,1981-04-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),187.84916212984663,1981-04-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),192.4304724368424,1981-07-01
1984-01-01,T_OLD,value_split->T (x0.4637),311.1812595829772,1981-07-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),167.47798946028612,1981-07-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),183.9734312668348,1981-10-01
1984-01-01,T_OLD,value_split->T (x0.4637),297.50529293225975,1981-10-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),160.117573856668,1981-10-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),176.7869750444815,1982-01-01
1984-01-01,T_OLD,value_split->T (x0.4637),285.8840020270795,1982-01-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),153.86298629461172,1982-01-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),179.90724300615778,1982-04-01
1984-01-01,T_OLD,value_split->T (x0.4637),290.9298188473313,1982-04-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),156.57864872676836,1982-04-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),193.9630059117641,1982-07-01
1984-01-01,T_OLD,value_split->T (x0.4637),313.6595349363557,1982-07-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),168.81179913143743,1982-07-01
1984-01-01,T_OLD,value_split->T_CORP (x0.2867),170.99594115257867,1982-10-01
1984-01-01,T_OLD,value_split->T (x0.4637),276.5192626594022,1982-10-01
1984-01-01,T_OLD,value_split->VZ (x0.2496),148.82287647816577,1982-10-01
1988-01-01,IBM,partial_trim,560.3475907692208,1979-07-01
1988-01-01,IBM,partial_trim,600.6019150089562,1979-10-01
1988-01-01,IBM,partial_trim,622.276600481524,1980-01-01
1988-01-01,IBM,partial_trim,559.0706326331115,1981-01-01
1988-01-01,IBM,partial_trim,353.17901074031977,1983-01-01
1988-01-01,IBM,partial_trim,331.09537497301824,1983-04-01
1988-01-01,IBM,partial_trim,276.1509314197149,1983-07-01
1988-01-01,IBM,partial_trim,261.3000424041433,1983-10-01
1988-01-01,IBM,partial_trim,269.70452073699096,1984-01-01
1988-01-01,IBM,partial_trim,286.54786644067883,1984-04-01
1988-01-01,IBM,partial_trim,306.02913239643374,1984-07-01
1988-01-01,IBM,partial_trim,261.52039750047123,1984-10-01
1988-01-01,IBM,partial_trim,258.1982134284957,1985-01-01
1988-01-01,IBM,partial_trim,246.1227076900231,1985-04-01
1988-01-01,IBM,partial_trim,250.31264152811195,1985-07-01
1988-01-01,IBM,partial_trim,244.75237072805183,1985-10-01
1988-01-01,IBM,partial_trim,197.66027411727634,1986-01-01
1988-01-01,IBM,partial_trim,204.64733369909635,1986-04-01
1988-01-01,IBM,partial_trim,203.84256051128844,1986-07-01
1988-01-01,IBM,partial_trim,225.87922707279313,1986-10-01
1988-01-01,IBM,partial_trim,248.16173269775828,1987-01-01
1988-01-01,IBM,partial_trim,195.44732560487967,1987-04-01
1988-01-01,IBM,partial_trim,178.91541122862813,1987-07-01
1988-04-01,IBM,partial_trim,177.4013855912763,1987-10-01
1990-10-01,T_CORP,partial_trim,482.30484077219444,1975-01-01
1990-10-01,T_CORP,partial_trim,287.7079343292462,1977-07-01
1990-10-01,T_CORP,partial_trim,283.542909347834,1977-10-01
1990-10-01,T_CORP,partial_trim,281.95358033907013,1978-04-01
1990-10-01,T_CORP,partial_trim,282.4142073582209,1978-07-01
1990-10-01,T_CORP,partial_trim,268.34037107556003,1978-10-01
1990-10-01,T_CORP,partial_trim,302.8017341998577,1980-04-01
1990-10-01,T_CORP,partial_trim,271.47936498533505,1980-07-01
1990-10-01,T_CORP,partial_trim,269.8730816349758,1980-10-01
1990-10-01,T_CORP,partial_trim,255.9943507990368,1981-04-01
1990-10-01,T_CORP,partial_trim,228.2332202013153,1981-07-01
1990-10-01,T_CORP,partial_trim,218.20270000790137,1981-10-01
1990-10-01,T_CORP,partial_trim,209.67916407987002,1982-01-01
1990-10-01,T_CORP,partial_trim,213.37997505728995,1982-04-01
1990-10-01,T_CORP,partial_trim,230.0508899581803,1982-07-01
1990-10-01,T_CORP,partial_trim,202.81067648169224,1982-10-01
1993-01-01,IBM,partial_trim,137.1422034609469,1988-01-01
1993-01-01,IBM,partial_trim,145.69162398736094,1988-04-01
1993-01-01,IBM,partial_trim,122.62790638765725,1988-07-01
1993-01-01,IBM,partial_trim,133.407869402951,1988-10-01
1993-01-01,IBM,partial_trim,125.15637018289307,1989-01-01
1993-01-01,IBM,partial_trim,138.59328343671086,1989-04-01
1993-01-01,IBM,partial_trim,133.7195184023501,1989-07-01
1993-01-01,IBM,partial_trim,135.47909026101345,1989-10-01
1993-01-01,IBM,partial_trim,136.08619280425964,1990-04-01
1993-01-01,IBM,partial_trim,121.55058433516022,1990-07-01
1993-01-01,IBM,partial_trim,123.58124923607191,1991-01-01
2000-07-01,T_CORP,partial_trim,326.86458893119243,1993-07-01
2000-07-01,T_CORP,partial_trim,370.3845410100144,1994-10-01
2000-07-01,MSFT,partial_trim,384.38434892951227,1998-10-01
2000-07-01,MSFT,partial_trim,288.4182341613794,1999-01-01
2000-07-01,MSFT,partial_trim,215.7788274227184,1999-04-01
2000-07-01,MSFT,partial_trim,219.32835097771164,1999-07-01
2000-07-01,MSFT,partial_trim,222.26090745463438,1999-10-01
2000-07-01,MSFT,partial_trim,171.30623310463474,2000-01-01
2000-10-01,VZ,partial_trim,2325.989824880767,1975-01-01
2000-10-01,VZ,partial_trim,1387.5160919302784,1977-07-01
2000-10-01,VZ,partial_trim,1367.4296136116525,1977-10-01
2000-10-01,VZ,partial_trim,1359.7648282098435,1978-04-01
2000-10-01,VZ,partial_trim,1361.9862733811058,1978-07-01
2000-10-01,VZ,partial_trim,1294.1130172510293,1978-10-01
