date,ticker,action,amount,origin_date
2000-07-01,MSFT,partial_trim,384.38434892951227,1998-10-01
2000-07-01,MSFT,partial_trim,288.4182341613794,1999-01-01
2000-07-01,MSFT,partial_trim,215.7788274227184,1999-04-01
2000-07-01,MSFT,partial_trim,219.32835097771164,1999-07-01
2000-07-01,MSFT,partial_trim,222.26090745463438,1999-10-01
2000-07-01,MSFT,partial_trim,171.30623310463474,2000-01-01
2000-10-01,MSFT,partial_trim,141.9116964249275,2000-04-01
2001-04-01,GE,partial_trim,1370.797290064812,1995-01-01
2001-04-01,GE,partial_trim,1284.9468848352842,1995-04-01
2001-04-01,GE,partial_trim,1221.8021924603074,1995-07-01
2001-04-01,GE,partial_trim,1073.5613723323158,1995-10-01
2001-04-01,GE,partial_trim,944.4869264923532,1996-01-01
2001-04-01,GE,partial_trim,851.6050646089598,1996-04-01
2001-04-01,GE,partial_trim,770.6325236068521,1996-07-01
2001-04-01,GE,partial_trim,738.2035682513313,1996-10-01
2001-04-01,GE,partial_trim,673.2012011787339,1997-01-01
2001-04-01,GE,partial_trim,671.5126901204575,1997-04-01
2001-04-01,GE,partial_trim,497.9543780971147,1997-07-01
2001-04-01,GE,partial_trim,479.2162089850185,1997-10-01
2001-04-01,GE,partial_trim,445.88832353991825,1998-01-01
2001-04-01,GE,partial_trim,377.01722130344916,1998-04-01
2001-04-01,GE,partial_trim,357.3783386931947,1998-07-01
2001-04-01,GE,partial_trim,199.7982373720165,2000-07-01
2001-04-01,GE,partial_trim,182.25967352180405,2000-10-01
2002-07-01,GE,partial_trim,152.38561880440326,2001-01-01
2002-07-01,GE,partial_trim,173.8835163409334,2001-04-01
2002-07-01,GE,partial_trim,148.54608356402093,2001-07-01
2002-07-01,GE,partial_trim,191.88468975907864,2001-10-01
2002-07-01,GE,partial_trim,179.403228616395,2002-01-01
2002-10-01,GE,partial_trim,177.94042103675332,2002-04-01
2008-07-01,GE,partial_trim,305.0777090981183,2002-10-01
2008-07-01,GE,partial_trim,273.10684234292074,2003-07-01
2008-07-01,GE,partial_trim,253.69996091942167,2003-10-01
2008-07-01,GE,partial_trim,249.20073675160415,2004-01-01
2008-07-01,GE,partial_trim,250.60109656502092,2004-04-01
2008-07-01,GE,partial_trim,238.28432398369864,2004-07-01
2008-07-01,GE,partial_trim,223.21230610243617,2004-10-01
2008-07-01,GE,partial_trim,206.5108389270649,2005-01-01
2008-07-01,GE,partial_trim,211.18213378779367,2005-04-01
2008-07-01,GE,partial_trim,214.29173050195377,2005-07-01
