date,ticker,action,amount,origin_date
2000-07-01,MSFT,trailing_stop_sell,768.7686978590245,1998-10-01
2000-07-01,MSFT,trailing_stop_sell,576.8364683227588,1999-01-01
2000-07-01,MSFT,trailing_stop_sell,431.5576548454368,1999-04-01
2000-07-01,MSFT,trailing_stop_sell,438.6567019554233,1999-07-01
2000-07-01,MSFT,trailing_stop_sell,444.52181490926876,1999-10-01
2000-07-01,MSFT,trailing_stop_sell,342.6124662092695,2000-01-01
2000-10-01,MSFT,trailing_stop_sell,283.823392849855,2000-04-01
2001-04-01,GE,trailing_stop_sell,2741.594580129624,1995-01-01
2001-04-01,GE,trailing_stop_sell,2569.8937696705684,1995-04-01
2001-04-01,GE,trailing_stop_sell,2443.604384920615,1995-07-01
2001-04-01,GE,trailing_stop_sell,2147.1227446646317,1995-10-01
2001-04-01,GE,trailing_stop_sell,1888.9738529847064,1996-01-01
2001-04-01,GE,trailing_stop_sell,1703.2101292179195,1996-04-01
2001-04-01,GE,trailing_stop_sell,1541.2650472137043,1996-07-01
2001-04-01,GE,trailing_stop_sell,1476.4071365026625,1996-10-01
2001-04-01,GE,trailing_stop_sell,1346.4024023574677,1997-01-01
2001-04-01,GE,trailing_stop_sell,1343.025380240915,1997-04-01
2001-04-01,GE,trailing_stop_sell,995.9087561942295,1997-07-01
2001-04-01,GE,trailing_stop_sell,958.432417970037,1997-10-01
2001-04-01,GE,trailing_stop_sell,891.7766470798365,1998-01-01
2001-04-01,GE,trailing_stop_sell,754.0344426068983,1998-04-01
2001-04-01,GE,trailing_stop_sell,714.7566773863894,1998-07-01
2001-04-01,GE,trailing_stop_sell,399.596474744033,2000-07-01
2001-04-01,GE,trailing_stop_sell,364.5193470436081,2000-10-01
2001-07-01,GE,rebuy,2902.040183868347,1995-01-01
2001-07-01,GE,rebuy,2720.2909729651856,1995-04-01
2001-07-01,GE,rebuy,2586.610788448974,1995-07-01
2001-07-01,GE,rebuy,2272.77823273923,1995-10-01
2001-07-01,GE,rebuy,1999.5217627615282,1996-01-01
2001-07-01,GE,rebuy,1802.886638449768,1996-04-01
2001-07-01,GE,rebuy,1631.464087879265,1996-07-01
2001-07-01,GE,rebuy,1562.81051506826,1996-10-01
2001-07-01,GE,rebuy,1425.197548761389,1997-01-01
2001-07-01,GE,rebuy,1421.6228940859396,1997-04-01
2001-07-01,GE,rebuy,1054.1920570200984,1997-07-01
2001-07-01,GE,rebuy,1014.5225011130739,1997-10-01
