date,ticker,action,amount,origin_date
2001-01-01,MSFT,trailing_stop_sell,416.816607859765,1998-10-01
2001-01-01,MSFT,trailing_stop_sell,312.75339472808463,1999-01-01
2001-01-01,MSFT,trailing_stop_sell,233.98507026826988,1999-04-01
2001-01-01,MSFT,trailing_stop_sell,237.8340832986676,1999-07-01
2001-01-01,MSFT,trailing_stop_sell,241.01407292746558,1999-10-01
2001-01-01,MSFT,trailing_stop_sell,185.76012053238367,2000-01-01
2001-01-01,MSFT,trailing_stop_sell,204.11760600326852,2000-04-01
2001-10-01,GE,trailing_stop_sell,2484.398867740458,1995-01-01
2001-10-01,GE,trailing_stop_sell,2328.805731473597,1995-04-01
2001-10-01,GE,trailing_stop_sell,2214.3638636808796,1995-07-01
2001-10-01,GE,trailing_stop_sell,1945.6958933338663,1995-10-01
2001-10-01,GE,trailing_stop_sell,1711.7645823930134,1996-01-01
2001-10-01,GE,trailing_stop_sell,1543.4278092105847,1996-04-01
2001-10-01,GE,trailing_stop_sell,1396.675192582496,1996-07-01
2001-10-01,GE,trailing_stop_sell,1337.9017615645134,1996-10-01
2001-10-01,GE,trailing_stop_sell,1220.0930904166623,1997-01-01
2001-10-01,GE,trailing_stop_sell,1217.032875028324,1997-04-01
2001-10-01,GE,trailing_stop_sell,902.4801129220092,1997-07-01
2001-10-01,GE,trailing_stop_sell,868.5195219119263,1997-10-01
2001-10-01,GE,trailing_stop_sell,808.1168923881431,1998-01-01
2001-10-01,GE,trailing_stop_sell,683.2966219831503,1998-04-01
2001-10-01,GE,trailing_stop_sell,647.7036002619759,1998-07-01
2001-10-01,GE,trailing_stop_sell,362.1093492824953,2000-07-01
2001-10-01,GE,trailing_stop_sell,330.32289297194814,2000-10-01
2002-07-01,GE,trailing_stop_sell,304.77123760880653,2001-01-01
2002-07-01,GE,trailing_stop_sell,347.7670326818668,2001-04-01
2002-07-01,GE,trailing_stop_sell,297.09216712804186,2001-07-01
2002-10-01,GE,trailing_stop_sell,355.8918625492939,2001-10-01
2002-10-01,GE,trailing_stop_sell,332.742280063148,2002-01-01
2003-01-01,GE,trailing_stop_sell,333.2545008481869,2002-04-01
2008-07-01,GE,trailing_stop_sell,610.1554181962366,2002-10-01
2008-07-01,GE,trailing_stop_sell,546.2136846858415,2003-07-01
2008-07-01,GE,trailing_stop_sell,507.39992183884334,2003-10-01
2008-07-01,GE,trailing_stop_sell,498.4014735032083,2004-01-01
2008-07-01,GE,trailing_stop_sell,501.20219313004185,2004-04-01
2008-07-01,GE,trailing_stop_sell,476.5686479673973,2004-07-01
