scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
partial_trim_once,stock,612,1975-01-31,2025-12-31,0.11307253089596037,0.1439828689177514,0.5294590860948568,0.09343304195066116,0.8165272366188183,-0.5079683896949774,1999-07-16,2002-10-09,2007-02-02,2758
partial_trim_once,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
partial_trim_once,combined,612,1975-01-31,2025-12-31,0.11937327166044942,0.1426508784320667,0.5731749460273009,0.09408099590080517,0.8700246418423674,-0.5152455789588761,2007-10-09,2009-03-09,2012-02-03,1578
partial_trim_once_from_1995,stock,372,1995-01-31,2025-12-31,0.12425961043099698,0.18250034449075975,0.6084399069526448,0.11376065876638458,0.973853743526558,-0.6404224839381021,2000-08-28,2009-03-05,2013-11-06,4818
partial_trim_once_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
partial_trim_once_from_1995,combined,372,1995-01-31,2025-12-31,0.11868463344873947,0.16334053502367243,0.6291554124415488,0.10575824729778717,0.9699768189905709,-0.5865326315271134,2007-10-09,2009-03-05,2013-02-19,1960
partial_trim_repeat,stock,612,1975-01-31,2025-12-31,0.11563471547104243,0.14391966708892556,0.5455530031913526,0.09478354959045791,0.8295789630725346,-0.5245264480763098,2007-10-09,2009-03-09,2012-03-19,1623
partial_trim_repeat,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
partial_trim_repeat,combined,612,1975-01-31,2025-12-31,0.12046401394567208,0.1436111656635497,0.5770337308754583,0.09516393613357815,0.8720099056925985,-0.5399178351295536,2007-10-09,2009-03-09,2012-03-26,1630
partial_trim_repeat_from_1995,stock,372,1995-01-31,2025-12-31,0.12654336649343012,0.1749531230527884,0.6384790158806634,0.10839099246983878,1.0283215932019534,-0.5846028145972297,2000-08-28,2009-03-05,2013-05-14,4642
partial_trim_repeat_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
partial_trim_repeat_from_1995,combined,372,1995-01-31,2025-12-31,0.11982533042507515,0.1601751375159178,0.6446628738035564,0.10357967677986155,0.9952497860734052,-0.5561551544940466,2007-10-09,2009-03-09,2012-09-14,1802
stop_and_rebuy,stock,612,1975-01-31,2025-12-31,0.1086396738676001,0.14862180458289836,0.49053745756207634,0.0983719219307557,0.741671284340845,-0.5308641983345688,2007-10-09,2009-03-09,2012-09-07,1795
stop_and_rebuy,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
stop_and_rebuy,combined,612,1975-01-31,2025-12-31,0.11771752930538981,0.14363399689610853,0.5598748296654428,0.09529670207968435,0.8448049915050683,-0.5441190242774018,2007-10-09,2009-03-09,2012-08-17,1774
stop_and_rebuy_from_1995,stock,372,1995-01-31,2025-12-31,0.12088891877192176,0.18059541656104508,0.595513916854788,0.11148867103577835,0.9627779819536425,-0.6113016999443405,2000-08-28,2009-03-05,2013-12-18,4860
stop_and_rebuy_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
stop_and_rebuy_from_1995,combined,372,1995-01-31,2025-12-31,0.11704862695128115,0.1611839973159999,0.625908134244778,0.10382323789859302,0.9701796462571198,-0.5710028339669327,2007-10-09,2009-03-09,2013-03-08,1977
stop_and_rebuy_any_top,stock,612,1975-01-31,2025-12-31,0.10645649856243988,0.14907862627620944,0.47595749538701065,0.09886687196039375,0.718520379397584,-0.5267175803897595,2007-10-09,2009-03-05,2012-08-16,1773
stop_and_rebuy_any_top,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
stop_and_rebuy_any_top,combined,612,1975-01-31,2025-12-31,0.11694290833023713,0.14351649329256402,0.5552216392253261,0.0952957078580869,0.8372922563958073,-0.5429917395858189,2007-10-09,2009-03-09,2012-08-16,1773
stop_and_rebuy_any_top_from_1995,stock,372,1995-01-31,2025-12-31,0.11196076645992137,0.18398676905241687,0.5440990822101529,0.1159843547739791,0.8615348408254241,-0.6907362302206941,2000-08-28,2009-03-05,2016-12-12,5950
stop_and_rebuy_any_top_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
stop_and_rebuy_any_top_from_1995,combined,372,1995-01-31,2025-12-31,0.11254209901509715,0.16210186256712397,0.5981354664464663,0.10556616875519322,0.9170592836907298,-0.6086862988036486,2000-08-28,2009-03-09,2013-07-18,4707
vol_stop_k1,stock,612,1975-01-31,2025-12-31,0.11841657049778487,0.1457143058268788,0.5577217271676799,0.09702829296567224,0.8393933118280938,-0.5507954026562842,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1,combined,612,1975-01-31,2025-12-31,0.12171043839745832,0.14718025618625774,0.5741590553821624,0.09794965240944563,0.8641530030401612,-0.5517011789609504,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1_from_1995,stock,372,1995-01-31,2025-12-31,0.13143089169360223,0.17392629387148614,0.6662333657386551,0.10686473927605011,1.0820277482708118,-0.5327624259891319,2000-08-28,2002-10-09,2007-07-19,2516
vol_stop_k1_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1_from_1995,combined,372,1995-01-31,2025-12-31,0.12249787958102143,0.16003925312005401,0.6599987695430012,0.102843618472799,1.0254128780570222,-0.5406847443734613,2007-10-09,2009-03-09,2012-03-19,1623
vol_stop_k1.5,stock,612,1975-01-31,2025-12-31,0.1106384887952796,0.14842473224224287,0.5028795134068118,0.09923107295891902,0.7535698609345269,-0.545777542860147,1999-07-16,2002-10-09,2007-06-04,2880
vol_stop_k1.5,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1.5,combined,612,1975-01-31,2025-12-31,0.11843881794145639,0.14398362283570398,0.563148551639471,0.09594102874555385,0.8465249528054787,-0.5408960833402773,2007-10-09,2009-03-09,2012-08-16,1773
vol_stop_k1.5_from_1995,stock,372,1995-01-31,2025-12-31,0.12959201107154872,0.17981798358890355,0.641020481199654,0.11150420004661615,1.031780701280075,-0.6098820218862347,2000-08-28,2002-10-09,2013-10-29,4810
vol_stop_k1.5_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
vol_stop_k1.5_from_1995,combined,372,1995-01-31,2025-12-31,0.12136538866907931,0.1623755876550925,0.6465180069382949,0.10482287285150606,0.9999846523079176,-0.5568651758837248,2000-08-28,2002-10-09,2013-01-17,4525
