scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
taxed_baseline_hold_1975,stock,612,1975-01-31,2025-12-31,0.10288004637820447,0.1621941140252468,0.42984886079682316,0.10274148019676987,0.6782812357291736,-0.5692169995526584,1999-07-16,2002-10-09,2007-07-25,2931
taxed_baseline_hold_1975,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
taxed_baseline_hold_1975,combined,612,1975-01-31,2025-12-31,0.11570733625666052,0.14357028242477846,0.5475035867734828,0.09393515858459395,0.8373107755860635,-0.4961568164887503,2000-04-07,2002-10-09,2007-01-24,2483
taxed_trailing_stop_25_1975,stock,612,1975-01-31,2025-12-31,0.11819932483984097,0.1435114294579432,0.5627784674685954,0.09460471525459839,0.8551164763820079,-0.5307977174790666,2007-10-09,2009-03-09,2012-08-16,1773
taxed_trailing_stop_25_1975,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
taxed_trailing_stop_25_1975,combined,612,1975-01-31,2025-12-31,0.12161356206187768,0.14427510292150783,0.5821877289155872,0.0955758970219777,0.8801055930014613,-0.5423451075317093,2007-10-09,2009-03-09,2012-08-16,1773
taxed_buy_the_dip_25_50_1975,stock,612,1975-01-31,2025-12-31,0.1062295928636281,0.18092827474444198,0.419523976290512,0.11383917031699169,0.6666888027476047,-0.5778434561084187,1999-07-16,2002-10-09,2008-05-14,3225
taxed_buy_the_dip_25_50_1975,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
taxed_buy_the_dip_25_50_1975,combined,612,1975-01-31,2025-12-31,0.11555102112145077,0.15460690223052262,0.518047226310161,0.09954513824538302,0.8048408971836151,-0.5229917947885904,1999-07-16,2002-10-09,2007-05-16,2861
taxed_baseline_hold_1995,stock,372,1995-01-31,2025-12-31,0.11706445618679617,0.2123930772460368,0.5202239222839505,0.1350823584704545,0.8164728799763051,-0.7637645957641481,2000-08-28,2009-03-05,2018-10-03,6610
