date,ticker,action,amount,origin_date
2008-01-01,C,add_25,50.0,2006-04-01
2008-01-01,C,add_25,50.0,2006-07-01
2008-01-01,C,add_25,50.0,2006-10-01
2008-01-01,C,add_25,50.0,2007-01-01
2008-01-01,C,add_25,50.0,2007-04-01
2008-01-01,C,add_25,50.0,2007-07-01
2008-01-01,C,add_25,50.0,2007-10-01
2008-04-01,C,add_50,50.0,2006-04-01
2008-04-01,AIG,add_25,50.0,2006-04-01
2008-04-01,C,add_50,50.0,2006-07-01
2008-04-01,C,add_50,50.0,2006-10-01
2008-04-01,AIG,add_25,50.0,2006-10-01
2008-04-01,C,add_50,50.0,2007-01-01
2008-04-01,AIG,add_25,50.0,2007-01-01
2008-04-01,C,add_50,50.0,2007-04-01
2008-04-01,C,add_50,50.0,2007-07-01
2008-04-01,AIG,add_25,50.0,2007-07-01
2008-04-01,GOOGL,add_25,50.0,2008-01-01
2008-07-01,GE,add_25,50.0,2006-04-01
2008-07-01,BAC,add_25,50.0,2006-04-01
2008-07-01,PFE,add_25,50.0,2006-04-01
2008-07-01,AIG,add_50,50.0,2006-04-01
2008-07-01,GE,add_25,50.0,2006-07-01
2008-07-01,BAC,add_25,50.0,2006-07-01
2008-07-01,PFE,add_25,50.0,2006-07-01
2008-07-01,GE,add_25,50.0,2006-10-01
2008-07-01,BAC,add_25,50.0,2006-10-01
2008-07-01,PFE,add_25,50.0,2006-10-01
2008-07-01,AIG,add_50,50.0,2006-10-01
2008-07-01,GE,add_25,50.0,2007-01-01
2008-07-01,BAC,add_25,50.0,2007-01-01
2008-07-01,AIG,add_50,50.0,2007-01-01
2008-07-01,GE,add_25,50.0,2007-04-01
2008-07-01,BAC,add_25,50.0,2007-04-01
2008-07-01,PFE,add_25,50.0,2007-04-01
2008-07-01,GE,add_25,50.0,2007-07-01
2008-07-01,BAC,add_25,50.0,2007-07-01
2008-07-01,AIG,add_50,50.0,2007-07-01
2008-07-01,GE,add_25,50.0,2007-10-01
2008-07-01,C,add_50,50.0,2007-10-01
2008-07-01,BAC,add_25,50.0,2007-10-01
2008-07-01,CSCO,add_25,50.0,2007-10-01
2008-07-01,GE,add_25,50.0,2008-01-01
2008-07-01,BAC,add_25,50.0,2008-01-01
2008-07-01,GE,add_25,50.0,2008-04-01
2008-07-01,BAC,add_25,50.0,2008-04-01
2008-10-01,T,add_25,50.0,2007-01-01
2008-10-01,T,add_25,50.0,2007-04-01
2008-10-01,T,add_25,50.0,2007-07-01
2008-10-01,T,add_25,50.0,2007-10-01
2008-10-01,T,add_25,50.0,2008-01-01
2008-10-01,T,add_25,50.0,2008-04-01
2009-01-01,GE,add_50,50.0,2006-04-01
2009-01-01,MSFT,add_25,50.0,2006-04-01
2009-01-01,BAC,add_50,50.0,2006-04-01
2009-01-01,GE,add_50,50.0,2006-07-01
2009-01-01,MSFT,add_25,50.0,2006-07-01
2009-01-01,BAC,add_50,50.0,2006-07-01
2009-01-01,MO,add_25,50.0,2006-07-01
2009-01-01,GE,add_50,50.0,2006-10-01
2009-01-01,MSFT,add_25,50.0,2006-10-01
2009-01-01,BAC,add_50,50.0,2006-10-01
2009-01-01,GE,add_50,50.0,2007-01-01
2009-01-01,MSFT,add_25,50.0,2007-01-01
2009-01-01,BAC,add_50,50.0,2007-01-01
2009-01-01,GE,add_50,50.0,2007-04-01
2009-01-01,MSFT,add_25,50.0,2007-04-01
2009-01-01,BAC,add_50,50.0,2007-04-01
2009-01-01,MO,add_25,50.0,2007-04-01
2009-01-01,GE,add_50,50.0,2007-07-01
2009-01-01,MSFT,add_25,50.0,2007-07-01
2009-01-01,BAC,add_50,50.0,2007-07-01
2009-01-01,GE,add_50,50.0,2007-10-01
2009-01-01,MSFT,add_25,50.0,2007-10-01
2009-01-01,BAC,add_50,50.0,2007-10-01
2009-01-01,CSCO,add_50,50.0,2007-10-01
2009-01-01,GE,add_50,50.0,2008-01-01
2009-01-01,MSFT,add_25,50.0,2008-01-01
2009-01-01,GOOGL,add_50,50.0,2008-01-01
2009-01-01,BAC,add_50,50.0,2008-01-01
2009-01-01,GE,add_50,50.0,2008-04-01
2009-01-01,MSFT,add_25,50.0,2008-04-01
2009-01-01,BAC,add_50,50.0,2008-04-01
2009-01-01,IBM,add_25,50.0,2008-04-01
2009-01-01,GE,add_25,50.0,2008-07-01
2009-01-01,MSFT,add_25,50.0,2008-07-01
2009-01-01,GOOGL,add_25,50.0,2008-07-01
2009-01-01,IBM,add_25,50.0,2008-07-01
2009-01-01,GE,add_25,50.0,2008-10-01
2009-01-01,MSFT,add_25,50.0,2008-10-01
2009-01-01,JPM,add_25,50.0,2008-10-01
