scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
top10_ew_baseline_hold,stock,237,2006-04-30,2025-12-31,0.11345483468574025,0.14243501839711967,0.7189081738662448,0.0927484713954895,1.1034145538655002,-0.5136372005331624,2007-10-09,2009-03-09,2012-08-03,1760
top10_ew_baseline_hold,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top10_ew_baseline_hold,combined,237,2006-04-30,2025-12-31,0.11164623950843278,0.14446114159955656,0.6994365345932941,0.09582451703437804,1.054195777059124,-0.5332659687736223,2007-10-09,2009-03-09,2012-08-07,1764
top10_ew_trailing_stop_25,stock,237,2006-04-30,2025-12-31,0.10211274012505989,0.13592028398707875,0.6702121197781512,0.09010784312040959,1.0110686040888408,-0.47871331793285943,2007-10-09,2009-03-09,2012-03-13,1617
top10_ew_trailing_stop_25,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top10_ew_trailing_stop_25,combined,237,2006-04-30,2025-12-31,0.10577333478305495,0.1426197755317557,0.6689158855373004,0.09539599507377605,1.000142659316985,-0.5161725328955777,2007-10-09,2009-03-09,2012-03-15,1619
top10_ew_buy_the_dip_25_50,stock,237,2006-04-30,2025-12-31,0.11385753343592042,0.1590198128051592,0.6626184219178475,0.1063810167769397,0.9900034175934456,-0.6179106540782306,2007-10-09,2009-03-05,2013-05-17,2047
top10_ew_buy_the_dip_25_50,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top10_ew_buy_the_dip_25_50,combined,237,2006-04-30,2025-12-31,0.11322522416052183,0.15366477387898034,0.6762192844192847,0.10279615821739968,1.0104814581708552,-0.5921006552937125,2007-10-09,2009-03-09,2013-02-19,1960
top1_baseline_hold_from_2006,stock,237,2006-04-30,2025-12-31,0.13546875394038738,0.1936141795698786,0.6742210060240588,0.11593341265612638,1.1251324636817752,-0.3729865505496267,2008-05-20,2010-07-02,2012-01-20,1340
top1_baseline_hold_from_2006,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top1_baseline_hold_from_2006,combined,237,2006-04-30,2025-12-31,0.12390364493323203,0.15850484608427914,0.7202477875111303,0.09969666767289757,1.1445330071153148,-0.4293788759499233,2007-10-15,2009-03-05,2012-02-21,1590
top1_trailing_stop_25_from_2006,stock,237,2006-04-30,2025-12-31,0.11288549847143114,0.15477562969591635,0.6707294008820162,0.09851001819252062,1.0517700797833032,-0.3504745786774789,2020-02-19,2020-03-23,2020-08-12,175
top1_trailing_stop_25_from_2006,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top1_trailing_stop_25_from_2006,combined,237,2006-04-30,2025-12-31,0.11211321624902015,0.14553817556158619,0.698611197626582,0.09509167579755835,1.0680592430137035,-0.4293788759499233,2007-10-15,2009-03-05,2012-02-21,1590
top1_buy_the_dip_25_50_from_2006,stock,237,2006-04-30,2025-12-31,0.1372506253459298,0.1874313358594244,0.6986601604666672,0.11229095292714564,1.1655211295154473,-0.3729865505496267,2008-05-20,2010-07-02,2012-01-20,1340
top1_buy_the_dip_25_50_from_2006,index,237,2006-04-30,2025-12-31,0.10914756184574603,0.15181414696881637,0.6578241554755643,0.10223789280448592,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637
top1_buy_the_dip_25_50_from_2006,combined,237,2006-04-30,2025-12-31,0.12774512674449268,0.16188134620451183,0.7293894473014185,0.10055017889192681,1.1741319919528406,-0.4293788759499233,2007-10-15,2009-03-05,2012-02-21,1590
