scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
top1_baseline_hold,stock,612,1975-01-31,2025-12-31,0.10288756593470905,0.16219102304339594,0.42989623855069165,0.10273879528864911,0.6783610848239928,-0.5692169995526584,1999-07-16,2002-10-09,2007-07-25,2931
top1_baseline_hold,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
top1_baseline_hold,combined,612,1975-01-31,2025-12-31,0.11570969903056283,0.14357095368129902,0.547516519299415,0.09393533300683998,0.8373329940421523,-0.4961568164887503,2000-04-07,2002-10-09,2007-01-24,2483
top1_trailing_stop_25,stock,612,1975-01-31,2025-12-31,0.12014576866127413,0.14338570151355742,0.5753554628777428,0.09430348870430168,0.8762736595711583,-0.5322591609584393,2007-10-09,2009-03-09,2012-03-26,1630
top1_trailing_stop_25,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
top1_trailing_stop_25,combined,612,1975-01-31,2025-12-31,0.12253434480087089,0.14426447953786473,0.5879497441876761,0.09549098970435255,0.8895499276501769,-0.5426770542509585,2007-10-09,2009-03-09,2012-03-26,1630
top1_buy_the_dip_25_50,stock,612,1975-01-31,2025-12-31,0.10623338690299544,0.1809259769442289,0.41954603824194964,0.1138371032313703,0.6667276190728921,-0.5778434561084187,1999-07-16,2002-10-09,2008-05-14,3225
top1_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.12455710087883487,0.15062463821172362,0.5817902271171339,0.10035634613225491,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637
top1_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.11555293144398404,0.15460706996820375,0.5180579525664303,0.0995449925984863,0.8048596809988765,-0.5229917947885904,1999-07-16,2002-10-09,2007-05-16,2861
top1_baseline_hold_from_1995,stock,372,1995-01-31,2025-12-31,0.11706445618679617,0.2123930772460368,0.5202239222839505,0.1350823584704545,0.8164728799763051,-0.7637645957641481,2000-08-28,2009-03-05,2018-10-03,6610
top1_baseline_hold_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
top1_baseline_hold_from_1995,combined,372,1995-01-31,2025-12-31,0.1153450380008656,0.1728232607010221,0.5865127276203803,0.11263480731335086,0.8983912111576663,-0.6490273863503766,2000-08-28,2009-03-05,2013-10-18,4799
top1_trailing_stop_25_from_1995,stock,372,1995-01-31,2025-12-31,0.12964092645436498,0.17085548740151366,0.6659932196304471,0.10509203978853425,1.0801583456339214,-0.5316851985585687,2007-10-09,2009-03-05,2012-09-07,1795
top1_trailing_stop_25_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
top1_trailing_stop_25_from_1995,combined,372,1995-01-31,2025-12-31,0.12160195069845758,0.15842375757542387,0.6601834170182274,0.10211564956432381,1.0224078682573892,-0.5408281335821349,2007-10-09,2009-03-09,2012-09-06,1794
top1_buy_the_dip_25_50_from_1995,stock,372,1995-01-31,2025-12-31,0.12135406645851998,0.2139814797747185,0.5361182355860707,0.1358975173894669,0.8427037760672926,-0.7676297433566477,2000-08-28,2009-03-05,2015-11-11,5553
top1_buy_the_dip_25_50_from_1995,index,372,1995-01-31,2025-12-31,0.11141993985909804,0.15074426049201037,0.624713535776678,0.10192087703643475,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637
top1_buy_the_dip_25_50_from_1995,combined,372,1995-01-31,2025-12-31,0.11632443516814495,0.18247666946260177,0.5697964630149597,0.11863848245942235,0.8750232426384964,-0.6886510125398098,2000-08-28,2009-03-05,2013-11-06,4818
